,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.02502
7,0.18985
8,0.34223000000000003
9,0.42551
10,0.53273
11,0.5765
12,0.58133
13,0.46032999999999996
14,0.29861
15,0.15103999999999998
16,0.06139
17,0.00177
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.01104
31,0.10694
32,0.23959
33,0.26194
34,0.43743
35,0.60201
36,0.59563
37,0.54203
38,0.44036000000000003
39,0.32622
40,0.17318
41,0.00802
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.024640000000000002
55,0.15877000000000002
56,0.27431
57,0.43965
58,0.56776
59,0.6265499999999999
60,0.66857
61,0.59227
62,0.53006
63,0.38595999999999997
64,0.17312
65,0.00883
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.04043
79,0.22994
80,0.43856
81,0.53215
82,0.65227
83,0.72958
84,0.7021499999999999
85,0.65199
86,0.5344099999999999
87,0.40426999999999996
88,0.19494
89,0.0066500000000000005
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.03904
103,0.24536000000000002
104,0.44004000000000004
105,0.5956
106,0.68224
107,0.69204
108,0.71372
109,0.6733899999999999
110,0.54855
111,0.37574
112,0.18911
113,0.00916
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.039450000000000006
127,0.24169
128,0.43341
129,0.54835
130,0.62917
131,0.67334
132,0.70399
133,0.62454
134,0.49717
135,0.36554000000000003
136,0.17321
137,0.01729
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.028210000000000002
151,0.16394999999999998
152,0.37263
153,0.49560000000000004
154,0.6406000000000001
155,0.63967
156,0.6166699999999999
157,0.6413099999999999
158,0.53426
159,0.37747
160,0.19637000000000002
161,0.01755
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.039850000000000003
175,0.24145
176,0.43936000000000003
177,0.58308
178,0.69139
179,0.73124
180,0.71992
181,0.67216
182,0.56309
183,0.40914999999999996
184,0.20781
185,0.01977
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.03964
199,0.22351
200,0.43311
201,0.54207
202,0.6366799999999999
203,0.69539
204,0.71062
205,0.6339199999999999
206,0.52616
207,0.39413
208,0.19871
209,0.02035
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.040740000000000005
223,0.25372
224,0.45250999999999997
225,0.59692
226,0.6986
227,0.73114
228,0.6868
229,0.65197
230,0.52066
231,0.36784
232,0.17417
233,0.02597
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.02898
247,0.17386000000000001
248,0.33481
249,0.43641
250,0.50997
251,0.58538
252,0.67875
253,0.56492
254,0.43227
255,0.31151999999999996
256,0.16468
257,0.02097
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.01316
271,0.12273
272,0.32888
273,0.48269999999999996
274,0.60938
275,0.64935
276,0.6083
277,0.58265
278,0.46693
279,0.29302
280,0.18641999999999997
281,0.02578
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.01847
295,0.13995
296,0.32726
297,0.51173
298,0.65487
299,0.49274
300,0.55416
301,0.52022
302,0.46723000000000003
303,0.35048
304,0.18984
305,0.023510000000000003
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.027370000000000002
319,0.185
320,0.3733
321,0.47374
322,0.54868
323,0.59538
324,0.61414
325,0.59642
326,0.478
327,0.35531
328,0.18697
329,0.02546
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.03558
343,0.21467
344,0.39532999999999996
345,0.47152
346,0.5561499999999999
347,0.5652200000000001
348,0.50808
349,0.55316
350,0.47056
351,0.30094
352,0.18913999999999997
353,0.027710000000000002
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.01654
367,0.15267
368,0.25061
369,0.38795999999999997
370,0.52351
371,0.52279
372,0.53742
373,0.39447000000000004
374,0.41258999999999996
375,0.28876
376,0.20563
377,0.02979
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00456
391,0.018269999999999998
392,0.09897
393,0.15559
394,0.17999
395,0.29739
396,0.28051
397,0.25779
398,0.42674
399,0.33150999999999997
400,0.19985
401,0.02265
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.00643
415,0.08217
416,0.20148
417,0.27094999999999997
418,0.4023
419,0.39032
420,0.36284
421,0.36834
422,0.34538
423,0.26352
424,0.16931000000000002
425,0.02587
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.02194
439,0.17593
440,0.36905
441,0.52773
442,0.46432999999999996
443,0.5021
444,0.42521
445,0.46414
446,0.45617
447,0.35032
448,0.19047999999999998
449,0.030199999999999998
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.02314
463,0.20654
464,0.27699
465,0.40695
466,0.45811
467,0.52244
468,0.55047
469,0.26515
470,0.27106
471,0.16586
472,0.08276
473,0.018670000000000003
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.01877
487,0.17275
488,0.29802999999999996
489,0.423
490,0.4874
491,0.5978
492,0.5774400000000001
