,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.009869999999999999
7,0.12398
8,0.22952
9,0.35364
10,0.5418
11,0.5562699999999999
12,0.6207
13,0.57337
14,0.44462
15,0.2841
16,0.19208
17,0.04528
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.01192
31,0.10021
32,0.21381
33,0.38238
34,0.56729
35,0.67435
36,0.58702
37,0.42047
38,0.41241
39,0.26593
40,0.08874
41,0.0206
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00664
55,0.07005
56,0.13438
57,0.28282999999999997
58,0.33623000000000003
59,0.44730000000000003
60,0.50977
61,0.63527
62,0.49047
63,0.26667
64,0.14138
65,0.02582
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.01213
79,0.17312
80,0.3573
81,0.49489999999999995
82,0.61221
83,0.67314
84,0.58433
85,0.57048
86,0.35091
87,0.32537
88,0.12887
89,0.04218
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.00898
103,0.16084
104,0.33032
105,0.48371
106,0.55157
107,0.65162
108,0.6471399999999999
109,0.5305
110,0.43653
111,0.34316
112,0.1899
113,0.05693
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00846
127,0.14575
128,0.34396
129,0.47973000000000005
130,0.5580700000000001
131,0.60985
132,0.58325
133,0.5522
134,0.52347
135,0.33703
136,0.2171
137,0.05002
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00956
151,0.11848
152,0.25281
153,0.31129
154,0.34552999999999995
155,0.52234
156,0.50501
157,0.47613
158,0.35892
159,0.33887
160,0.13668
161,0.03185
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00418
175,0.061579999999999996
176,0.14734999999999998
177,0.18506999999999998
178,0.15084
179,0.28519
180,0.33399
181,0.19366
182,0.32508
183,0.26262
184,0.1281
185,0.03068
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.00795
199,0.15613999999999997
200,0.29973
201,0.30913999999999997
202,0.41314999999999996
203,0.47131
204,0.50296
205,0.50226
206,0.52599
207,0.39250999999999997
208,0.23453
209,0.053810000000000004
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.004200000000000001
223,0.16924
224,0.31595999999999996
225,0.44669
226,0.57163
227,0.48338
228,0.58951
229,0.49411
230,0.44318
231,0.35269
232,0.21414
233,0.04972
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00031
247,0.06301
248,0.12583
249,0.31248000000000004
250,0.27616
251,0.47766000000000003
252,0.47995
253,0.20621
254,0.39846
255,0.26712
256,0.22371000000000002
257,0.039740000000000004
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0058200000000000005
271,0.08
272,0.14548
273,0.28423000000000004
274,0.36529
275,0.48292
276,0.44675
277,0.50219
278,0.51301
279,0.43205
280,0.2332
281,0.06492
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00771
295,0.10628
296,0.24600999999999998
297,0.4012
298,0.54286
299,0.50452
300,0.46764999999999995
301,0.51587
302,0.43183
303,0.28035000000000004
304,0.17106
305,0.05108
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00677
319,0.09509999999999999
320,0.20912999999999998
321,0.33587
322,0.44285
323,0.52086
324,0.55241
325,0.58109
326,0.4928
327,0.41425
328,0.2351
329,0.04139
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0040999999999999995
343,0.07454999999999999
344,0.16509000000000001
345,0.26744999999999997
346,0.28013
347,0.28212
348,0.36844
349,0.40482
350,0.34202999999999995
351,0.25382
352,0.12622
353,0.038090000000000006
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.00652
367,0.10276
368,0.2696
369,0.34979000000000005
370,0.5660700000000001
371,0.6138899999999999
372,0.59923
373,0.6157100000000001
374,0.48747
375,0.35996
376,0.18712
377,0.05139
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00696
391,0.09589
392,0.22003
393,0.33812000000000003
394,0.40249
395,0.39856
396,0.44021
397,0.35124
398,0.34342
399,0.26753
400,0.13184
401,0.02506
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.00534
415,0.13054
416,0.27901
417,0.45857
418,0.527
419,0.53091
420,0.60378
421,0.389
422,0.38493
423,0.25679
424,0.2011
425,0.05841
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.00825
439,0.13572
440,0.27882
441,0.4214
442,0.50405
443,0.56976
444,0.59386
445,0.35170999999999997
446,0.43492000000000003
447,0.27952999999999995
448,0.15888
449,0.03503
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00149
463,0.02843
464,0.09231
465,0.10568999999999999
466,0.20015
467,0.15966
468,0.27896
469,0.31312
470,0.37567
471,0.29416000000000003
472,0.19563999999999998
473,0.040100000000000004
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0025499999999999997
487,0.0848
488,0.22472999999999999
489,0.46531
490,0.51355
491,0.6364
492,0.63499
493,0.5047200000000001
494,0.49351999999999996
