,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00337
7,0.19269999999999998
8,0.40351
9,0.55041
10,0.64042
11,0.6716
12,0.6654800000000001
13,0.56596
14,0.3931
15,0.31188
16,0.11586
17,0.00424
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0029100000000000003
31,0.20243
32,0.39943
33,0.54118
34,0.61052
35,0.67987
36,0.66331
37,0.60272
38,0.49228
39,0.33094999999999997
40,0.14381
41,0.00475
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00289
55,0.20425
56,0.4067
57,0.55555
58,0.6428400000000001
59,0.67587
60,0.6658099999999999
61,0.5418099999999999
62,0.49113999999999997
63,0.3349
64,0.13178
65,0.00474
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00282
79,0.20279
80,0.41018
81,0.55599
82,0.6485599999999999
83,0.69148
84,0.5698099999999999
85,0.5688799999999999
86,0.4744
87,0.33050999999999997
88,0.13873
89,0.0058
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.00272
103,0.20258
104,0.40532999999999997
105,0.55523
106,0.6456000000000001
107,0.64487
108,0.65863
109,0.5458200000000001
110,0.48502999999999996
111,0.32452
112,0.14751
113,0.00544
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0018
127,0.18468
128,0.3633
129,0.45302
130,0.60573
131,0.6404500000000001
132,0.64178
133,0.57141
134,0.46758999999999995
135,0.32766
136,0.14640999999999998
137,0.00625
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00219
151,0.18711000000000003
152,0.39738
153,0.54343
154,0.63025
155,0.66298
156,0.65496
157,0.59782
158,0.45596
159,0.25621
160,0.15156999999999998
161,0.00646
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00231
175,0.19477
176,0.39509
177,0.53228
178,0.62989
179,0.67565
180,0.66637
181,0.59088
182,0.47043
183,0.31535
184,0.1385
185,0.0085
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0025299999999999997
199,0.17283
200,0.38203
201,0.54169
202,0.63589
203,0.6795
204,0.6735
205,0.60645
206,0.48669999999999997
207,0.28646
208,0.13122
209,0.01063
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.00157
223,0.052590000000000005
224,0.1953
225,0.35733
226,0.45043
227,0.49989
228,0.52449
229,0.39899
230,0.16803
231,0.13532
232,0.07139
233,0.0079
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00318
247,0.15949000000000002
248,0.37319
249,0.52028
250,0.5758
251,0.5907100000000001
252,0.56663
253,0.52367
254,0.43539
255,0.28247000000000005
256,0.12159
257,0.005730000000000001
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0027400000000000002
271,0.17943
272,0.37237
273,0.48989
274,0.59229
275,0.6081599999999999
276,0.59108
277,0.50426
278,0.38608
279,0.21916
280,0.12209
281,0.00807
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0017900000000000001
295,0.17853
296,0.35422000000000003
297,0.47752999999999995
298,0.54264
299,0.47667000000000004
300,0.6007
301,0.45482
302,0.40126
303,0.21508000000000002
304,0.12214
305,0.008029999999999999
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00174
319,0.16981
320,0.35427
321,0.5152
322,0.61168
323,0.64325
324,0.61536
325,0.51058
326,0.28526999999999997
327,0.14013
328,0.07038
329,0.005860000000000001
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00057
343,0.10052
344,0.22194
345,0.41119
346,0.43904000000000004
347,0.56284
348,0.58624
349,0.36274
350,0.30875
351,0.19775
352,0.12604
353,0.00895
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,2e-05
367,0.07114
368,0.22215000000000001
369,0.27847000000000005
370,0.58025
371,0.40605
372,0.56752
373,0.42598
374,0.33282
375,0.17601
376,0.10257
377,0.01255
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0016799999999999999
391,0.15666
392,0.29446
393,0.4863
394,0.57639
395,0.66165
396,0.5912999999999999
397,0.55168
398,0.47166
399,0.31831
400,0.15983
401,0.013859999999999999
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0015
415,0.16994
416,0.37427999999999995
417,0.5404
418,0.63639
419,0.6626000000000001
420,0.6494099999999999
421,0.5561699999999999
422,0.45444
423,0.28782
424,0.16555
425,0.01476
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.00185
439,0.16434
440,0.33176
441,0.53532
442,0.59557
443,0.6745099999999999
444,0.63686
445,0.52239
446,0.42236
447,0.27117
448,0.17247
449,0.01575
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00171
463,0.17359
464,0.39164
465,0.5530700000000001
466,0.61861
467,0.63573
468,0.51716
469,0.50924
470,0.46220999999999995
471,0.25895999999999997
472,0.13943
473,0.013560000000000001
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.00124
487,0.17865
488,0.38276
489,0.5481900000000001
490,0.60362
491,0.6316900000000001
