,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.01444
8,0.03289
9,0.0975
10,0.16091999999999998
11,0.2751
12,0.31624
13,0.13598
14,0.09392
15,0.07981
16,0.05483
17,0.011800000000000001
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0020099999999999996
31,0.07144
32,0.239
33,0.31812
34,0.38816
35,0.5445800000000001
36,0.52404
37,0.43307
38,0.31738
39,0.28238
40,0.1288
41,0.03107
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00222
55,0.06498999999999999
56,0.17373
57,0.23137
58,0.30968
59,0.34963
60,0.34941
61,0.43824
62,0.3715
63,0.25093
64,0.09422
65,0.02119
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00542
79,0.12259
80,0.28011
81,0.43835
82,0.57729
83,0.58051
84,0.56171
85,0.63459
86,0.49445
87,0.34029000000000004
88,0.17652
89,0.0322
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.00146
103,0.061590000000000006
104,0.14299
105,0.19732
106,0.33585000000000004
107,0.36119
108,0.44255
109,0.35391
110,0.17534
111,0.07202
112,0.10346
113,0.011460000000000001
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0015400000000000001
127,0.11120000000000001
128,0.19466999999999998
129,0.2843
130,0.50854
131,0.60138
132,0.54772
133,0.59474
134,0.40008
135,0.12124
136,0.05305
137,0.01191
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00333
151,0.09057
152,0.18342
153,0.34388
154,0.41911000000000004
155,0.48207
156,0.59593
157,0.35106
158,0.43137000000000003
159,0.22191
160,0.15055000000000002
161,0.02256
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00075
175,0.10042
176,0.24841
177,0.39894999999999997
178,0.41868
179,0.43467
180,0.47544
181,0.33024000000000003
182,0.24759
183,0.20506
184,0.08845
185,0.01239
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0013700000000000001
199,0.06154
200,0.10426
201,0.039189999999999996
202,0.06541
203,0.13338
204,0.27137
205,0.35236
206,0.33763
207,0.23607
208,0.04203
209,0.0022400000000000002
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.00332
224,0.01661
225,0.04376
226,0.02857
227,0.056119999999999996
228,0.06266
229,0.35013
230,0.22615000000000002
231,0.13565
232,0.09358
233,0.01382
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00043
247,0.038450000000000005
248,0.12369
249,0.27301
250,0.21982
251,0.41168
252,0.32509
253,0.3397
254,0.30739
255,0.19921
256,0.07942
257,0.02081
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.00035
271,0.04345
272,0.16231
273,0.28778
274,0.27163
275,0.40594
276,0.42789
277,0.33282
278,0.21841999999999998
279,0.21521
280,0.16212000000000001
281,0.01087
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00232
295,0.03632
296,0.09309999999999999
297,0.17106
298,0.36086
299,0.38739
300,0.38927
301,0.47705000000000003
302,0.44773
303,0.29225999999999996
304,0.14285
305,0.0061600000000000005
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0020499999999999997
319,0.06664
320,0.23238
321,0.31148000000000003
322,0.48707999999999996
323,0.38266
324,0.5337799999999999
325,0.32230000000000003
326,0.13734
327,0.06826
328,0.045380000000000004
329,0.01272
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0016699999999999998
343,0.07911
344,0.18838
345,0.3998
346,0.46055
347,0.53612
348,0.47285000000000005
349,0.36575
350,0.23921
351,0.1591
352,0.05127
353,0.01573
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.007019999999999999
368,0.055159999999999994
369,0.11598
370,0.31505
371,0.47663
372,0.39402
373,0.32772
374,0.27727999999999997
375,0.26191000000000003
376,0.16165000000000002
377,0.041100000000000005
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00023999999999999998
391,0.027219999999999998
392,0.1672
393,0.26065
394,0.37636000000000003
395,0.40886
396,0.443
397,0.31847000000000003
398,0.32721
399,0.18978
400,0.11108
401,0.02443
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,8e-05
415,0.032240000000000005
416,0.1033
417,0.17629
418,0.2821
419,0.39569
420,0.42616000000000004
421,0.23649
422,0.26832
423,0.20496
424,0.07554000000000001
425,0.0076500000000000005
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.00147
439,0.10753
440,0.19201
441,0.40408
442,0.54263
443,0.55108
444,0.44495
445,0.48993000000000003
446,0.29243
447,0.24991999999999998
448,0.11256000000000001
449,0.01828
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00111
463,0.08962
464,0.13576
465,0.38395
466,0.45906
467,0.48651
468,0.5368099999999999
469,0.5600499999999999
470,0.27461
471,0.30973
472,0.09749
473,0.040729999999999995
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.02964
488,0.07456
489,0.13972
490,0.14109
