,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00326
7,0.08625
8,0.26563
9,0.33672
10,0.4542
11,0.5218700000000001
12,0.55831
13,0.37433
14,0.23429
15,0.21538
16,0.11167
17,0.0264
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.00319
31,0.05717
32,0.15561000000000003
33,0.15458000000000002
34,0.35217000000000004
35,0.32566
36,0.42619
37,0.5185700000000001
38,0.39801
39,0.28105
40,0.11974
41,0.02223
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0016799999999999999
55,0.037630000000000004
56,0.08972
57,0.30393000000000003
58,0.43382
59,0.5601799999999999
60,0.45509
61,0.41554
62,0.3004
63,0.29143
64,0.12535
65,0.02521
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00131
79,0.07694
80,0.18302000000000002
81,0.3441
82,0.44308
83,0.47817000000000004
84,0.49592
85,0.57798
86,0.5242
87,0.36692
88,0.09304000000000001
89,0.048049999999999995
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.00155
103,0.08849
104,0.23345
105,0.32318
106,0.44944
107,0.59092
108,0.6013999999999999
109,0.33013
110,0.19244
111,0.11961
112,0.032799999999999996
113,0.01421
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.03047
128,0.0364
129,0.16312000000000001
130,0.18275999999999998
131,0.23628
132,0.21739
133,0.20513
134,0.26603
135,0.20921
136,0.10006
137,0.03478
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00074
151,0.050409999999999996
152,0.17623
153,0.3466
154,0.27864999999999995
155,0.4059
156,0.27293
157,0.22691999999999998
158,0.21021
159,0.19388999999999998
160,0.13412000000000002
161,0.03531
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00055
175,0.034159999999999996
176,0.13585
177,0.19457
178,0.20197
179,0.14426
180,0.09206
181,0.29185
182,0.31085
183,0.15647999999999998
184,0.04604
185,0.0101
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0056500000000000005
200,0.01107
201,0.03903
202,0.13134
203,0.15666999999999998
204,0.18775
205,0.36268
206,0.22657
207,0.21007
208,0.06174
209,0.01285
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.02135
224,0.1037
225,0.17414
226,0.23113
227,0.22451
228,0.27729000000000004
229,0.23263
230,0.15775999999999998
231,0.21599000000000002
232,0.16938
233,0.030109999999999998
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.00172
247,0.08555
248,0.19059
249,0.22943
250,0.33782999999999996
251,0.47847
252,0.53187
253,0.4696
254,0.35434
255,0.29982
256,0.11166
257,0.027710000000000002
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.00053
271,0.02004
272,0.08133
273,0.09911
274,0.14629
275,0.24981
276,0.30733
277,0.4573
278,0.41419
279,0.30119999999999997
280,0.16318000000000002
281,0.03865
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00043
295,0.04843
296,0.11884
297,0.13301
298,0.28232
299,0.26487
300,0.34406
301,0.35236
302,0.25414
303,0.12378
304,0.06877
305,0.00525
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00015
319,0.03049
320,0.03789
321,0.04889
322,0.08137
323,0.17319
324,0.21283000000000002
325,0.14449
326,0.16112
327,0.08045000000000001
328,0.05547
329,0.01865
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00117
343,0.055060000000000005
344,0.12451000000000001
345,0.37142000000000003
346,0.34529000000000004
347,0.41557
348,0.5171399999999999
349,0.42213999999999996
350,0.30307
351,0.21906
352,0.08331999999999999
353,0.01889
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.03435
368,0.17715
369,0.19833
370,0.36869
371,0.25569
372,0.20555
373,0.30183
374,0.26285000000000003
375,0.11301
376,0.11978
377,0.02999
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00171
391,0.06946
392,0.16163
393,0.27241000000000004
394,0.31718
395,0.38827
396,0.28019
397,0.16327
398,0.15003999999999998
399,0.13015000000000002
400,0.060579999999999995
401,0.01703
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0028599999999999997
415,0.05279
416,0.14365
417,0.22265000000000001
418,0.30406
419,0.42581
420,0.49302999999999997
421,0.43551
422,0.37078
423,0.21681
424,0.08782
425,0.026949999999999998
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0009599999999999999
439,0.0286
440,0.18486000000000002
441,0.27101
442,0.3267
443,0.27901
444,0.39327
445,0.32755
446,0.29735
447,0.25446
448,0.11514
449,0.02514
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.00808
464,0.04222
465,0.0445
466,0.13847
467,0.15339
468,0.21988999999999997
469,0.4343
470,0.2612
471,0.27486
472,0.10662
473,0.024210000000000002
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0020800000000000003
487,0.09863
488,0.24489
489,0.3486
490,0.40108
491,0.52906
