,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00159
7,0.03716
8,0.06699
9,0.13213999999999998
10,0.13578
11,0.21198
12,0.16805
13,0.20885
14,0.14431
15,0.11551
16,0.06287
17,0.01287
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0012
31,0.032369999999999996
32,0.10223
33,0.16716999999999999
34,0.17690999999999998
35,0.20869
36,0.11727
37,0.17514
38,0.07323
39,0.07262
40,0.03508
41,0.0022299999999999998
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00298
55,0.04881
56,0.09386
57,0.14016
58,0.19416999999999998
59,0.16645
60,0.16925
61,0.13355
62,0.10592
63,0.09705
64,0.060399999999999995
65,0.01306
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00307
79,0.055130000000000005
80,0.09743
81,0.12043000000000001
82,0.13101
83,0.18906
84,0.21201
85,0.22649
86,0.15625999999999998
87,0.14978
88,0.07726999999999999
89,0.0221
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.00318
103,0.04155
104,0.08038
105,0.14752
106,0.16163
107,0.22240000000000001
108,0.16843
109,0.13308
110,0.12936
111,0.1052
112,0.05235
113,0.01591
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00064
127,0.04122
128,0.07537
129,0.13465
130,0.15591999999999998
131,0.10124
132,0.17748
133,0.14946
134,0.15449000000000002
135,0.11626
136,0.07393000000000001
137,0.01065
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00283
151,0.039049999999999994
152,0.07176
153,0.13515
154,0.12681
155,0.17837999999999998
156,0.26472
157,0.23475
158,0.18903999999999999
159,0.12412999999999999
160,0.06581000000000001
161,0.02147
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.03983
176,0.11297
177,0.17042
178,0.13578
179,0.23781
180,0.24919
181,0.20307
182,0.19183
183,0.12256
184,0.06548999999999999
185,0.00789
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.00415
199,0.05107
200,0.10251
201,0.14417
202,0.14095
203,0.18991
204,0.23775
205,0.21093
206,0.18587
207,0.10267
208,0.04269
209,0.011179999999999999
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.00054
224,0.00936
225,0.01984
226,0.12027
227,0.14956999999999998
228,0.12825999999999999
229,0.14487
230,0.05762
231,0.03977
232,0.022920000000000003
233,0.00536
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,7.000000000000001e-05
247,0.013689999999999999
248,0.0329
249,0.07917
250,0.09670999999999999
251,0.10304
252,0.15136000000000002
253,0.11672
254,0.10819
255,0.07778
256,0.04804
257,0.00962
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.00226
271,0.03449
272,0.07812999999999999
273,0.12553
274,0.13477
275,0.19090000000000001
276,0.23951
277,0.18641999999999997
278,0.20709
279,0.15694999999999998
280,0.07712000000000001
281,0.0184
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.00696
296,0.024640000000000002
297,0.11859
298,0.12090000000000001
299,0.16469
300,0.16926
301,0.13486
302,0.15197999999999998
303,0.10039000000000001
304,0.08498
305,0.01755
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00166
319,0.03545
320,0.06842000000000001
321,0.08319
322,0.16938999999999999
323,0.12384999999999999
324,0.18785
325,0.17506
326,0.15650999999999998
327,0.12371
328,0.07390000000000001
329,0.01727
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00156
343,0.02764
344,0.07635
345,0.09467
346,0.13347
347,0.1766
348,0.15906
349,0.10665000000000001
350,0.09961
351,0.11668
352,0.07487
353,0.01543
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.028079999999999997
368,0.08704
369,0.07366
370,0.19438
371,0.1395
372,0.16652
373,0.16490000000000002
374,0.14044
375,0.12682
376,0.06606000000000001
377,0.02059
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00122
391,0.026109999999999998
392,0.06505
393,0.09276999999999999
394,0.16307
395,0.21709
396,0.20281
397,0.13805
398,0.16007
399,0.11187000000000001
400,0.04437
401,0.01142
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.027510000000000003
416,0.05948
417,0.10163
418,0.14540999999999998
419,0.18111000000000002
420,0.16891
421,0.13786
422,0.14261000000000001
423,0.08775
424,0.060579999999999995
425,0.01205
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0001
439,0.01872
440,0.055159999999999994
441,0.11487
442,0.20674
443,0.11312
444,0.16025
445,0.15669999999999998
446,0.12264
447,0.10936
448,0.0582
449,0.02634
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0019299999999999999
463,0.04629
464,0.10853
465,0.13168000000000002
466,0.19437000000000001
467,0.20768999999999999
468,0.23765
469,0.26613
470,0.17524
471,0.13143000000000002
472,0.07025
473,0.01855
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.00015
487,0.02792
488,0.05522
489,0.09222
