,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00315
7,0.21280000000000002
8,0.41202
9,0.55633
10,0.6093
11,0.6709700000000001
12,0.6551699999999999
13,0.5945900000000001
14,0.45043
15,0.32850999999999997
16,0.12725
17,0.00477
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.00318
31,0.19341999999999998
32,0.40313
33,0.5398
34,0.62658
35,0.65691
36,0.56443
37,0.49788
38,0.38259
39,0.27679000000000004
40,0.12835
41,0.00513
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00317
55,0.20237
56,0.3956
57,0.5321
58,0.64351
59,0.6043200000000001
60,0.64089
61,0.55991
62,0.44671
63,0.29584
64,0.10565000000000001
65,0.00432
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.00287
79,0.2061
80,0.40917000000000003
81,0.5585
82,0.6528999999999999
83,0.6741699999999999
84,0.66534
85,0.5929800000000001
86,0.46388999999999997
87,0.32541000000000003
88,0.1436
89,0.00564
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0028799999999999997
103,0.20818
104,0.41242
105,0.56199
106,0.65471
107,0.6733899999999999
108,0.65947
109,0.56497
110,0.46176
111,0.26508
112,0.15631
113,0.0059299999999999995
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0027400000000000002
127,0.20908000000000002
128,0.41299
129,0.5638
130,0.65595
131,0.6884199999999999
132,0.66799
133,0.60274
134,0.47836
135,0.35184
136,0.15030000000000002
137,0.00624
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00428
151,0.19455
152,0.40258999999999995
153,0.55032
154,0.6383099999999999
155,0.66353
156,0.64513
157,0.43595
158,0.43005
159,0.28952
160,0.11893000000000001
161,0.0061200000000000004
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00332
175,0.13538999999999998
176,0.33947000000000005
177,0.51428
178,0.59276
179,0.6429400000000001
180,0.57239
181,0.54504
182,0.35806
183,0.21530000000000002
184,0.11467000000000001
185,0.00561
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.00216
199,0.19802
200,0.40222
201,0.54832
202,0.6468400000000001
203,0.68513
204,0.65706
205,0.53454
206,0.42405000000000004
207,0.29188
208,0.15169
209,0.007809999999999999
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.00216
223,0.1771
224,0.31126
225,0.54506
226,0.6194700000000001
227,0.6683600000000001
228,0.6188899999999999
229,0.51735
230,0.37621
231,0.25705
232,0.10217
233,0.012119999999999999
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0036
247,0.13813
248,0.32043
249,0.51807
250,0.62393
251,0.56898
252,0.46427999999999997
253,0.38844999999999996
254,0.29463
255,0.20625
256,0.08165
257,0.006860000000000001
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.002
271,0.17371
272,0.36918
273,0.51062
274,0.57135
275,0.6649700000000001
276,0.58461
277,0.4873
278,0.35214
279,0.17875
280,0.08426
281,0.006860000000000001
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00214
295,0.1585
296,0.38372
297,0.48234
298,0.5700599999999999
299,0.62367
300,0.52738
301,0.52397
302,0.44681
303,0.26754
304,0.13735
305,0.007730000000000001
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0016899999999999999
319,0.14054
320,0.31957
321,0.45771
322,0.47013
323,0.54267
324,0.53059
325,0.45785000000000003
326,0.40402
327,0.30821
328,0.13616999999999999
329,0.009179999999999999
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00216
343,0.18808000000000002
344,0.38722
345,0.54223
346,0.63606
347,0.6519400000000001
348,0.58873
349,0.5384
350,0.42642
351,0.3015
352,0.10884
353,0.01007
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0024
367,0.18818000000000001
368,0.37116000000000005
369,0.5453
370,0.6337200000000001
371,0.6157100000000001
372,0.62183
373,0.5692200000000001
374,0.40442
375,0.33505
376,0.12381
377,0.009470000000000001
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00204
391,0.17403
392,0.35577
393,0.51092
394,0.62025
395,0.65859
396,0.60363
397,0.5312
398,0.44711
399,0.26429
400,0.14928
401,0.01142
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.00184
415,0.15106999999999998
416,0.34
417,0.52713
418,0.62679
419,0.64459
420,0.62939
421,0.54795
422,0.40639
423,0.23075
424,0.11758
425,0.0103
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.00188
439,0.18969999999999998
440,0.39588999999999996
441,0.5541900000000001
442,0.65112
443,0.69231
444,0.68104
445,0.6246799999999999
446,0.52288
447,0.32588
448,0.17203
449,0.016399999999999998
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0019199999999999998
463,0.19335
464,0.3978
465,0.55223
466,0.6429199999999999
467,0.68469
468,0.67348
469,0.61685
470,0.50441
471,0.3489
472,0.16946
473,0.01638
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.00182
