,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.046590000000000006
7,0.22871
8,0.41799000000000003
9,0.57529
10,0.66269
11,0.68333
12,0.65974
13,0.63701
14,0.47342
15,0.36371
16,0.14976
17,0.0060999999999999995
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.041049999999999996
31,0.25328
32,0.45502
33,0.58721
34,0.68587
35,0.74934
36,0.71721
37,0.63337
38,0.51174
39,0.36937000000000003
40,0.16858
41,0.0067
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.02538
55,0.18066
56,0.37911
57,0.50296
58,0.59372
59,0.55528
60,0.6081
61,0.46038999999999997
62,0.35907
63,0.26241000000000003
64,0.09065000000000001
65,0.009349999999999999
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.02887
79,0.17352
80,0.35851
81,0.36724
82,0.56841
83,0.6536900000000001
84,0.5691799999999999
85,0.59548
86,0.47532
87,0.29591
88,0.14989
89,0.01245
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.03564
103,0.22434
104,0.41487
105,0.55611
106,0.6751699999999999
107,0.65449
108,0.69638
109,0.6229600000000001
110,0.47841
111,0.32280000000000003
112,0.17153
113,0.01066
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0296
127,0.18619
128,0.31254000000000004
129,0.47764999999999996
130,0.4728
131,0.49901999999999996
132,0.54576
133,0.39741000000000004
134,0.44141
135,0.34044
136,0.18411000000000002
137,0.02484
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.016030000000000003
151,0.09954
152,0.15691
153,0.28058999999999995
154,0.39579000000000003
155,0.54332
156,0.58175
157,0.52198
158,0.43062
159,0.31814
160,0.1468
161,0.01811
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.02097
175,0.16113999999999998
176,0.36651
177,0.50691
178,0.46970999999999996
179,0.5644600000000001
180,0.5784400000000001
181,0.54208
182,0.44041
183,0.22631
184,0.13796
185,0.01862
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.020329999999999997
199,0.16866
200,0.18431
201,0.25277
202,0.39116
203,0.41658
204,0.25998000000000004
205,0.30891
206,0.30183
207,0.2532
208,0.13978
209,0.019620000000000002
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.027170000000000003
223,0.20526
224,0.36035
225,0.50631
226,0.56504
227,0.63986
228,0.6902
229,0.56602
230,0.48229
231,0.28276
232,0.12794
233,0.023170000000000003
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.02183
247,0.16586
248,0.32821
249,0.36994
250,0.49549
251,0.6371100000000001
252,0.46692
253,0.5544600000000001
254,0.48464999999999997
255,0.29178
256,0.1768
257,0.02929
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.030719999999999997
271,0.21366
272,0.41695
273,0.54968
274,0.56637
275,0.63291
276,0.60484
277,0.58611
278,0.47425
279,0.33224000000000004
280,0.19049000000000002
281,0.027510000000000003
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.03177
295,0.23758
296,0.42054
297,0.51673
298,0.59819
299,0.68006
300,0.6631
301,0.59902
302,0.54116
303,0.40968
304,0.21272
305,0.03342
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.02798
319,0.20221
320,0.42222000000000004
321,0.55264
322,0.6487
323,0.6620900000000001
324,0.63027
325,0.62682
326,0.48407
327,0.39963
328,0.21878
329,0.03589
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.02566
343,0.22286
344,0.41496
345,0.52985
346,0.6548200000000001
347,0.66728
348,0.65025
349,0.63436
350,0.46869
351,0.34370999999999996
352,0.19852
353,0.03329
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.02594
367,0.21424
368,0.39292
369,0.5612999999999999
370,0.65889
371,0.70078
372,0.6097899999999999
373,0.5902200000000001
374,0.49082
375,0.37822
376,0.18559
377,0.02557
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.02389
391,0.16834
392,0.39127
393,0.42727
394,0.66512
395,0.6607799999999999
396,0.63814
397,0.62939
398,0.51197
399,0.40594
400,0.17355
401,0.02944
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.02739
415,0.22297
416,0.35746
417,0.55611
418,0.64679
419,0.6598999999999999
420,0.64711
421,0.56484
422,0.49825
423,0.37188
424,0.19078
425,0.032049999999999995
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.02552
439,0.21481999999999998
440,0.37163
441,0.5579400000000001
442,0.69856
443,0.72682
444,0.72208
445,0.6406900000000001
446,0.53985
447,0.36582
448,0.22494999999999998
449,0.03853
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.02788
463,0.21093
464,0.3588
465,0.54545
466,0.66413
467,0.72034
468,0.70089
469,0.6807300000000001
470,0.59616
471,0.43865
472,0.23826
473,0.037590000000000005
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.015220000000000001
487,0.1512
488,0.31251999999999996
489,0.46666
490,0.48269999999999996
491,0.64639
