,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00079
7,0.037200000000000004
8,0.15811
9,0.24165999999999999
10,0.30922000000000005
11,0.31427
12,0.31199
13,0.2013
14,0.16679
15,0.17484
16,0.05758
17,0.0184
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0046
31,0.07791
32,0.11855
33,0.23371
34,0.30031
35,0.5418999999999999
36,0.5776399999999999
37,0.57866
38,0.38415
39,0.27804
40,0.15883
41,0.048159999999999994
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00337
55,0.06575
56,0.15431999999999998
57,0.28257
58,0.42781
59,0.48295
60,0.37524
61,0.62974
62,0.5419400000000001
63,0.38987
64,0.17336000000000001
65,0.038560000000000004
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.01778
80,0.06767000000000001
81,0.09293000000000001
82,0.17228
83,0.25259
84,0.39144999999999996
85,0.47624
86,0.46249
87,0.29501
88,0.12784
89,0.0358
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.006730000000000001
104,0.03032
105,0.045829999999999996
106,0.10352
107,0.0953
108,0.18922999999999998
109,0.35852
110,0.31665
111,0.25185
112,0.15893000000000002
113,0.048979999999999996
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.00352
127,0.08825
128,0.25012
129,0.38047000000000003
130,0.5185700000000001
131,0.53096
132,0.6426000000000001
133,0.53924
134,0.41067000000000004
135,0.30169
136,0.1799
137,0.02213
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0035499999999999998
151,0.06486
152,0.14427
153,0.36951999999999996
154,0.45031
155,0.57163
156,0.60651
157,0.61051
158,0.38866
159,0.26958
160,0.07601999999999999
161,0.02101
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00252
175,0.05328
176,0.15794999999999998
177,0.21095
178,0.30797
179,0.45622
180,0.41686
181,0.42463999999999996
182,0.35587
183,0.16909
184,0.09658
185,0.00684
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0004
199,0.01723
200,0.07034
201,0.11325
202,0.10173
203,0.08987
204,0.07234
205,0.20641
206,0.30121
207,0.21159
208,0.14739
209,0.04501
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.002
223,0.06386
224,0.20457
225,0.29455000000000003
226,0.46995
227,0.50806
228,0.53023
229,0.47485000000000005
230,0.51615
231,0.34933
232,0.22335
233,0.06935
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.002
247,0.08452
248,0.24447
249,0.37057999999999996
250,0.5432100000000001
251,0.57845
252,0.62487
253,0.47691
254,0.32689
255,0.18771000000000002
256,0.0685
257,0.01259
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.00228
271,0.0593
272,0.13182
273,0.08993999999999999
274,0.22185
275,0.22183
276,0.25880000000000003
277,0.08866
278,0.14075
279,0.15247
280,0.08663
281,0.03006
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.025160000000000002
296,0.08441
297,0.16031
298,0.17471
299,0.18780000000000002
300,0.19582
301,0.32722
302,0.15264
303,0.25557
304,0.08095999999999999
305,0.022260000000000002
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,5.9999999999999995e-05
319,0.037200000000000004
320,0.08819
321,0.23997
322,0.29346
323,0.40832999999999997
324,0.44118
325,0.32931
326,0.32803
327,0.16931000000000002
328,0.1386
329,0.03093
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0016799999999999999
343,0.04707
344,0.09887
345,0.16323
346,0.15844999999999998
347,0.13836
348,0.20556
349,0.28884
350,0.39369
351,0.22565000000000002
352,0.13436
353,0.03893
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.00125
367,0.044969999999999996
368,0.11996
369,0.20928
370,0.36055000000000004
371,0.43069
372,0.55053
373,0.53477
374,0.49315
375,0.33112
376,0.21575999999999998
377,0.03488
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.00173
391,0.02438
392,0.11761
393,0.18759
394,0.17889
395,0.41936
396,0.41504
397,0.47248
398,0.39952
399,0.36002999999999996
400,0.19132
401,0.044020000000000004
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0011799999999999998
415,0.03362
416,0.09681999999999999
417,0.14649
418,0.17715
419,0.22031
420,0.19108
421,0.37804000000000004
422,0.32796
423,0.30428
424,0.18856
425,0.06658
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.026
440,0.10995999999999999
441,0.14352
442,0.18577000000000002
443,0.21700999999999998
444,0.39071
445,0.6145499999999999
446,0.41761000000000004
447,0.37186
448,0.1668
449,0.06688
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.00092
463,0.04259
464,0.0953
465,0.21765
466,0.26054
467,0.33108
468,0.37762
469,0.32831
470,0.32997000000000004
471,0.22976
472,0.17801
473,0.055560000000000005
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,4e-05
487,0.04154
488,0.09799
489,0.12685
