,pv_per_unit
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.00408
7,0.1009
8,0.25066
9,0.39032
10,0.42005000000000003
11,0.5949099999999999
12,0.53187
13,0.43179
14,0.44693
15,0.27614999999999995
16,0.15828
17,0.02528
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.00039
31,0.052
32,0.20487
33,0.35498
34,0.49032
35,0.52258
36,0.59819
37,0.51132
38,0.50332
39,0.3492
40,0.15727000000000002
41,0.0126
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.00038
55,0.030420000000000003
56,0.07945
57,0.11001999999999999
58,0.2345
59,0.27572
60,0.26705
61,0.42456
62,0.26353
63,0.25307
64,0.09870999999999999
65,0.01583
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.00584
80,0.033049999999999996
81,0.14793
82,0.25839999999999996
83,0.30254000000000003
84,0.47147
85,0.47706
86,0.50251
87,0.33244999999999997
88,0.19918
89,0.0577
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.013789999999999998
104,0.037200000000000004
105,0.05558
106,0.17859999999999998
107,0.18002
108,0.2099
109,0.31509
110,0.15252000000000002
111,0.23981
112,0.14086
113,0.022690000000000002
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0020099999999999996
127,0.08646
128,0.24703
129,0.40394
130,0.53171
131,0.6400800000000001
132,0.61595
133,0.58062
134,0.4303
135,0.22062
136,0.17306
137,0.03245
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.00132
151,0.0834
152,0.19397
153,0.22019999999999998
154,0.43976
155,0.51
156,0.52536
157,0.50227
158,0.44331
159,0.30967
160,0.18198
161,0.00999
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.00062
175,0.04582
176,0.15725999999999998
177,0.13819
178,0.22993
179,0.20659
180,0.17394
181,0.26333999999999996
182,0.38324
183,0.1928
184,0.09283
185,0.01524
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.01495
200,0.06334000000000001
201,0.12705
202,0.23278000000000001
203,0.31010000000000004
204,0.47620999999999997
205,0.39985000000000004
206,0.34166
207,0.2403
208,0.14335
209,0.01776
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.00098
223,0.06945
224,0.17782
225,0.19721
226,0.30845
227,0.44515
228,0.39621
229,0.5245299999999999
230,0.52
231,0.37538
232,0.19590000000000002
233,0.0261
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.01107
248,0.03275
249,0.08876
250,0.17351
251,0.27542
252,0.26630000000000004
253,0.44680000000000003
254,0.3237
255,0.2139
256,0.11812
257,0.03033
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.06879
272,0.20269
273,0.23691
274,0.36479
275,0.3752
276,0.52667
277,0.54874
278,0.37372000000000005
279,0.32824000000000003
280,0.12042
281,0.03425
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.00157
295,0.07639
296,0.26518
297,0.36517
298,0.39116
299,0.42602999999999996
300,0.38677999999999996
301,0.42366000000000004
302,0.45324000000000003
303,0.28485000000000005
304,0.11595
305,0.036899999999999995
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.00159
319,0.08208
320,0.16919
321,0.40019
322,0.50383
323,0.48354
324,0.5854199999999999
325,0.48610000000000003
326,0.31574
327,0.30543
328,0.08785
329,0.04632
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.00126
343,0.06491
344,0.23847
345,0.35647
346,0.50593
347,0.48002
348,0.53158
349,0.6580900000000001
350,0.37925
351,0.31612
352,0.12715
353,0.032560000000000006
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.00014000000000000001
367,0.05337
368,0.13849
369,0.26024
370,0.4403
371,0.5413300000000001
372,0.5651
373,0.6164700000000001
374,0.44832
375,0.26386000000000004
376,0.1051
377,0.03676
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0313
392,0.11312
393,0.33837
394,0.50441
395,0.56614
396,0.43883999999999995
397,0.54744
398,0.42951
399,0.28408999999999995
400,0.1384
401,0.047159999999999994
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.03854
416,0.17126
417,0.29616000000000003
418,0.51983
419,0.5012300000000001
420,0.47413
421,0.49245999999999995
422,0.50145
423,0.32074
424,0.12298999999999999
425,0.05149
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.00065
439,0.07255
440,0.18619
441,0.31811
442,0.38274
443,0.5179900000000001
444,0.48160000000000003
445,0.5828
446,0.47352999999999995
447,0.39954
448,0.17078
449,0.04839
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0007099999999999999
463,0.08954000000000001
464,0.23288
465,0.36019
466,0.50989
467,0.53325
468,0.5131100000000001
469,0.58651
470,0.44743
471,0.37276
472,0.14784999999999998
473,0.03811
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0014299999999999998
487,0.04709000000000001
488,0.15632
489,0.28322
