,cop_per_kwh
0,142.31245
1,142.31245
2,142.31245
3,142.31245
4,142.31245
5,142.31245
6,128.31245
7,128.31245
8,128.31245
9,142.31245
10,142.31245
11,142.31245
12,153.31245
13,153.31245
14,153.31245
15,153.31245
16,153.31245
17,153.31245
18,198.31245
19,199.31245
20,198.31245
21,168.31245
22,153.31245
23,153.31245
24,86.11739
25,85.27039
26,86.11739
27,86.11739
28,86.11739
29,86.11739
30,86.11639
31,90.96039
32,101.96039
33,147.96039
34,147.96039
35,139.96039
36,147.96039
37,147.96039
38,147.96039
39,147.96039
40,147.96039
41,147.96039
42,188.96039
43,188.96039
44,188.96039
45,147.96039
46,147.96039
47,139.96039
48,128.16394
49,128.16394
50,128.16394
51,128.16394
52,128.16394
53,128.16394
54,100.16394
55,100.16394
56,128.16394
57,128.16394
58,128.16394
59,128.16394
60,138.16394
61,138.16394
62,138.16394
63,138.16394
64,138.16394
65,138.16394
66,167.16394
67,199.16394
68,167.16394
69,167.16394
70,167.16394
71,128.16394
72,126.4583
73,126.4583
74,126.4583
75,126.4583
76,126.4583
77,134.1753
78,126.4583
79,143.4583
80,143.4583
81,157.4583
82,157.4583
83,166.4583
84,166.4583
85,166.4583
86,166.4583
87,166.4583
88,166.4583
89,157.4583
90,198.4583
91,198.4583
92,166.4583
93,166.4583
94,157.4583
95,139.4583
96,146.4524
97,146.4524
98,146.4524
99,146.4524
100,146.4524
101,146.4524
102,146.4524
103,168.4524
104,168.4524
105,168.4524
106,176.4524
107,176.4524
108,188.4524
109,188.4524
110,188.4524
111,188.4524
112,176.4524
113,176.4524
114,188.4524
115,228.4524
116,188.4524
117,176.4524
118,168.4524
119,168.4524
120,169.23574
121,169.23574
122,169.23574
123,155.09474
124,163.21574
125,169.23574
126,169.23574
127,169.23574
128,169.23574
129,173.23574
130,188.23574
131,197.23574
132,197.23574
133,197.23574
134,197.23574
135,197.23574
136,197.23574
137,188.23574
138,197.23574
139,197.23574
140,197.23574
141,197.23574
142,173.23574
143,169.23574
144,169.38234
145,169.38234
146,169.38234
147,169.38234
148,169.38234
149,169.38234
150,169.38234
151,169.38234
152,177.38234
153,177.38234
154,177.38234
155,177.38234
156,181.49634
157,181.49634
158,181.49634
159,181.49634
160,177.38234
161,177.38234
162,181.49634
163,181.49634
164,181.49634
165,177.38234
166,177.38234
167,170.38234
168,170.82872
169,170.82872
170,149.74072
171,147.82872
172,147.82872
173,155.80872
