,cop_per_kwh
0,163.06998
1,163.06998
2,163.06998
3,161.71298
4,161.71298
5,161.71298
6,159.36998
7,159.36998
8,159.36998
9,159.36998
10,161.71298
11,161.71298
12,161.71298
13,161.71298
14,161.71298
15,161.71298
16,161.71298
17,161.71298
18,163.06998
19,165.36998
20,164.36998
21,163.06998
22,163.06998
23,161.71298
24,99.36998
25,69.36998
26,69.36998
27,69.36998
28,69.36998
29,90.88898
30,99.36998
31,144.35998
32,157.36998
33,158.36998
34,158.36998
35,158.36998
36,158.36998
37,158.36998
38,158.36998
39,158.36998
40,158.36998
41,158.36998
42,161.86998
43,163.26998
44,161.86998
45,161.71298
46,158.36998
47,157.36998
48,133.70398
49,104.36998
50,92.36998
51,92.36998
52,92.36998
53,92.36998
54,92.36998
55,112.36998
56,144.36998
57,144.36998
58,144.36998
59,144.36998
60,144.36998
61,144.36998
62,144.36998
63,144.36998
64,144.36998
65,144.36998
66,154.36998
67,158.36998
68,158.36998
69,154.35998
70,144.36998
71,144.36998
72,144.86998
73,144.86998
74,144.36998
75,144.36998
76,144.36998
77,144.36998
78,144.36998
79,144.36998
80,144.86998
81,144.86998
82,144.86998
83,144.86998
84,144.86998
85,144.86998
86,144.86998
87,144.86998
88,144.86998
89,144.86998
90,145.36998
91,145.36998
92,145.36998
93,145.36998
94,144.86998
95,144.86998
96,92.36998
97,91.36998
98,90.88898
99,90.88898
100,91.36998
101,92.36998
102,133.70398
103,141.36998
104,144.36998
105,144.36998
106,144.36998
107,144.36998
108,144.36998
109,144.36998
110,144.36998
111,144.36998
112,144.36998
113,144.36998
114,144.86998
115,144.86998
116,144.86998
117,144.36998
118,144.36998
119,141.36998
120,132.36998
121,132.36998
122,132.36998
123,132.36998
124,132.36998
125,132.36998
126,132.36998
127,133.25498
128,142.36998
129,144.46998
130,144.46998
131,144.46998
132,144.46998
133,144.46998
134,144.46998
135,144.46998
136,144.46998
137,144.46998
138,144.46998
139,144.46998
140,144.46998
141,144.46998
142,141.86998
143,132.36998
144,129.36998
145,129.36998
146,129.36998
147,129.26998
148,129.36998
149,133.26998
150,133.26998
151,133.26998
152,133.36998
153,133.36998
154,142.36998
155,142.36998
156,142.36998
157,142.36998
158,142.36998
159,142.36998
160,133.36998
161,133.36998
162,144.36998
163,144.36998
164,144.34998
165,133.36998
166,133.26998
167,133.26998
168,133.26998
169,133.26998
170,133.26998
171,133.26998
172,133.26998
173,133.26998
174,133.26998
175,133.31998
176,133.31998
177,133.31998
178,133.31998
179,133.56998
180,133.31998
181,133.31998
182,133.31998
183,133.31998
184,133.31998
185,133.31998
186,134.36998
187,134.36998
188,133.56998
189,133.31998
190,133.31998
191,133.26998
192,132.26998
193,132.26998
194,132.26998
195,129.36998
196,132.26998
197,132.26998
198,132.26998
199,132.26998
200,133.26998
201,133.26998
202,133.26998
203,133.26998
204,133.26998
205,133.26998
206,133.26998
207,133.26998
208,133.26998
209,133.26998
210,133.36998
211,133.36998
212,133.26998
213,133.26998
214,133.26998
215,132.26998
216,132.36998
217,132.36998
218,128.86998
219,128.86998
220,132.36998
221,132.36998
222,132.36998
223,133.26998
224,133.26998
225,133.26998
226,133.26998
227,133.26998
228,133.26998
229,133.26998
230,133.26998
231,133.26998
232,133.26998
233,133.26998
234,133.31998
235,133.31998
236,133.31998
237,133.26998
238,133.26998
239,133.26998
240,132.46998
241,132.46998
242,132.36998
243,132.36998
244,132.36998
245,132.36998
246,128.46998
247,128.46998
248,132.36998
249,132.36998
250,132.36998
251,132.46998
252,132.46998
253,132.86998
254,132.86998
255,132.46998
256,132.46998
257,132.86998
258,133.26998
259,139.36998
260,133.26998
261,133.26998
262,133.26998
263,132.86998
264,132.56998
265,132.56998
266,132.56998
267,132.56998
268,132.56998
269,132.56998
270,132.56998
271,132.56998
272,132.56998
273,132.56998
274,132.56998
275,133.26998
276,133.26998
277,133.26998
278,132.56998
279,132.56998
280,132.56998
281,132.56998
282,133.26998
283,139.36998
284,133.26998
285,133.26998
286,132.56998
287,132.56998
288,131.86998
289,91.36998
290,91.36998
291,91.36998
292,131.86998
293,132.36998
294,132.36998
295,133.26998
296,133.26998
297,134.46998
298,134.46998
299,134.46998
300,134.46998
301,134.46998
302,134.46998
303,134.46998
304,134.46998
305,134.46998
306,134.46998
307,149.34998
308,134.46998
309,134.46998
310,133.26998
311,133.26998
312,104.36998
313,104.36998
314,104.36998
315,104.36998
316,104.36998
317,131.86998
318,132.36998
319,133.26998
320,133.26998
321,133.26998
322,133.26998
323,151.34998
324,133.26998
325,133.26998
326,133.26998
327,133.26998
328,133.26998
329,133.26998
330,178.36998
331,204.03198
332,173.28998
333,133.26998
334,132.36998
335,131.86998
336,133.26998
337,131.86998
338,131.86998
339,131.86998
340,131.86998
341,133.26998
342,133.26998
343,133.26998
344,154.36998
345,154.36998
346,154.36998
347,154.36998
348,154.36998
349,154.36998
350,154.36998
351,154.36998
352,154.36998
353,154.36998
354,199.36998
355,204.03198
356,154.36998
357,154.36998
358,133.26998
359,133.26998
360,131.86998
361,131.86998
362,133.26998
363,133.26998
364,133.26998
365,133.26998
366,133.26998
367,133.36998
368,144.36998
369,150.35998
370,154.36998
371,154.36998
372,154.36998
373,150.48998
374,150.48998
375,150.48998
376,150.48998
377,150.35998
378,154.36998
379,176.08098
380,154.36998
381,150.35998
382,133.36998
383,133.26998
384,133.21998
385,133.21998
386,133.21998
387,129.36998
388,133.21998
389,133.21998
390,133.21998
391,133.26998
392,133.26998
393,133.26998
394,133.26998
395,133.26998
396,133.26998
397,133.26998
398,133.26998
399,133.26998
400,133.26998
401,133.26998
402,134.36998
403,150.48998
404,133.36998
405,133.26998
406,133.26998
407,133.21998
408,133.26998
409,133.26998
410,133.26998
411,133.26998
412,133.26998
413,133.26998
414,133.26998
415,133.26998
416,133.26998
417,133.26998
418,133.35998
419,133.35998
420,133.35998
421,133.35998
422,133.35998
423,133.35998
424,133.26998
425,133.35998
426,133.36998
427,139.36998
428,133.36998
429,133.36998
430,133.35998
431,133.26998
432,130.36998
433,130.36998
434,124.36998
435,124.36998
436,128.69198
437,130.36998
438,130.36998
439,133.26998
440,133.26998
441,133.26998
442,133.26998
443,133.36998
444,133.36998
445,133.36998
446,133.36998
447,133.36998
448,133.36998
449,133.36998
450,142.36998
451,142.36998
452,142.36998
453,133.26998
454,133.26998
455,130.36998
456,84.36998
457,84.36998
458,83.36998
459,83.36998
460,84.36998
461,114.36998
462,130.36998
463,130.36998
464,130.36998
465,133.26998
466,133.26998
467,133.26998
468,133.26998
469,133.26998
470,133.26998
471,133.26998
472,133.26998
473,133.26998
474,133.26998
475,133.36998
476,133.26998
477,133.26998
478,130.36998
479,114.36998
480,84.36998
481,42.63698
482,42.63698
483,42.63698
484,42.63698
485,124.36998
486,129.36998
487,129.36998
488,133.26998
489,133.26998
490,133.26998
491,137.36998
492,137.36998
493,133.26998
494,133.26998
495,133.26998
496,133.26998
497,133.26998
498,139.36998
499,139.36998
500,137.36998
501,133.26998
502,129.36998
503,124.36998
504,89.36998
505,89.36998
506,89.36998
507,89.36998
508,89.36998
509,124.36998
510,124.36998
511,128.36998
512,129.36998
513,129.36998
514,132.34998
515,133.26998
516,129.36998
517,129.36998
518,132.34998
519,132.34998
520,132.34998
521,129.36998
522,133.26998
523,133.26998
524,133.26998
525,132.34998
526,128.36998
527,89.36998
528,126.36998
529,124.36998
530,124.36998
531,124.36998
532,124.36998
533,126.36998
534,126.36998
