,cop_per_kwh
0,318.4231
1,318.4231
2,318.4231
3,318.4231
4,308.9231
5,218.9231
6,153.9231
7,153.9231
8,195.1311
9,293.9231
10,318.4231
11,318.4231
12,318.4231
13,318.4231
14,318.4231
15,318.4231
16,318.4231
17,318.4231
18,318.4231
19,333.9231
20,333.9231
21,318.4231
22,318.4231
23,318.4231
24,335.52288
25,323.02288
26,295.50888
27,262.02288
28,262.02288
29,292.23188
30,292.23188
31,335.52288
32,335.52288
33,335.52288
34,348.02288
35,348.02288
36,348.02288
37,348.02288
38,348.02288
39,348.02288
40,348.02288
41,348.02288
42,372.02288
43,393.02288
44,393.02288
45,353.02288
46,348.02288
47,348.02288
48,329.34796
49,329.34796
50,329.34796
51,329.34796
52,329.34796
53,329.34796
54,329.34796
55,341.34796
56,376.34796
57,381.34796
58,381.34796
59,390.34796
60,401.34796
61,401.34796
62,401.34796
63,386.34796
64,381.34796
65,381.34796
66,390.34796
67,451.34796
68,401.34796
69,381.34796
70,381.34796
71,381.34796
72,378.15036
73,378.15036
74,375.15036
75,350.15036
76,350.15036
77,378.15036
78,378.15036
79,380.88136
80,378.15036
81,378.15036
82,380.88136
83,380.88136
84,380.88136
85,380.88136
86,380.88136
87,380.88136
88,380.88136
89,380.88136
90,380.88136
91,380.88136
92,380.88136
93,380.88136
94,378.15036
95,344.05036
96,348.38007
97,348.38007
98,348.38007
99,239.00707
100,254.43607
101,348.38007
102,348.38007
103,348.38007
104,348.38007
105,381.24907
106,401.64907
107,381.24907
108,381.24907
109,381.24907
110,381.24907
111,381.24907
112,379.64907
113,360.64907
114,381.24907
115,396.64907
116,381.24907
117,381.24907
118,381.24907
119,348.38007
120,260.20309
121,260.20309
122,260.20309
123,260.20309
124,260.20309
125,260.20309
126,257.51609
127,260.20309
128,260.20309
129,260.20309
130,360.20309
131,369.73409
132,369.73409
133,369.73409
134,369.73409
135,369.73409
136,360.20309
137,260.20309
138,369.73409
139,369.73409
140,369.73409
141,369.73409
142,369.73409
143,260.20309
144,369.71226
145,250.18126
146,250.18126
147,250.18126
148,250.18126
149,250.18126
150,250.18126
151,250.18126
152,250.18126
153,379.18126
154,369.71226
155,369.71226
156,369.71226
157,369.71226
158,369.71226
159,369.71226
160,369.71226
161,369.71226
162,400.18126
163,401.18126
164,400.18126
165,369.71226
166,369.71226
167,369.71226
168,363.8843
169,310.1533
170,310.1533
171,310.1533
172,310.1533
173,310.1533
174,360.1533
175,363.8843
176,363.8843
177,369.5533
178,369.5533
179,380.1533
180,380.1533
181,380.1533
182,380.1533
183,380.1533
184,369.5533
185,363.8843
186,380.1533
187,380.1533
188,380.1533
189,369.5533
190,363.8843
191,363.8843
192,257.49997
193,249.18697
194,249.18697
195,249.18697
196,249.18697
197,257.49997
198,280.18697
199,280.18697
200,280.18697
201,360.91797
202,360.91797
203,364.18697
204,364.18697
205,364.18697
206,364.18697
207,364.18697
208,360.91797
209,360.91797
210,380.08697
211,380.08697
212,380.08697
213,360.91797
214,360.91797
215,280.18697
216,320.54323
217,320.54323
218,320.54323
219,320.54323
220,257.74223
221,320.54323
222,320.54323
223,320.54323
224,367.42923
225,377.42923
226,320.54323
227,320.54323
228,320.54323
229,320.54323
230,320.54323
231,320.54323
232,320.54323
233,320.54323
234,367.42923
235,367.42923
236,378.42923
237,320.54323
238,367.42923
239,320.54323
240,309.72896
241,309.72896
242,309.72896
243,309.72896
244,309.72896
245,350.12896
246,350.12896
247,350.34296
248,350.34296
249,350.34296
250,350.34296
251,350.34296
252,350.34296
253,350.34296
254,350.34296
255,366.22896
256,350.34296
257,350.34296
258,367.22896
259,367.22896
260,366.22896
261,350.34296
262,350.12896
263,309.72896
264,250.36797
265,250.36797
266,250.36797
267,250.36797
268,250.36797
269,255.36797
270,255.36797
271,310.36797
272,311.86797
273,311.86797
274,311.86797
275,311.86797
276,311.86797
277,311.86797
278,311.86797
279,311.86797
280,311.86797
281,311.86797
282,311.86797
283,320.66797
284,311.86797
285,311.86797
286,310.36797
287,256.74697
288,245.07454
289,200.30554
290,200.30554
291,200.30554
292,200.30554
293,200.30554
294,227.07454
295,200.30554
296,200.30554
297,245.07454
298,245.07454
299,301.06454
300,312.17454
301,312.17454
302,301.06454
303,249.51454
304,245.07454
305,245.07454
306,312.17454
307,320.97454
308,312.17454
309,312.17454
310,312.17454
311,245.07454
312,230.71968
313,185.71968
314,185.71968
315,185.71968
316,185.71968
317,230.71968
318,261.16668
319,261.16668
320,267.71968
321,295.70968
322,300.71968
323,300.81968
324,300.81968
325,300.81968
326,300.81968
327,300.81968
328,300.81968
329,300.81968
330,300.81968
331,311.71968
332,300.81968
333,300.81968
334,267.71968
335,261.16668
336,250.61305
337,250.91305
338,185.61305
339,185.61305
340,192.22505
341,250.61305
342,250.61305
343,250.91305
344,250.91305
345,255.99205
346,271.26805
347,270.65605
348,270.65605
349,270.65605
350,271.26805
351,271.26805
352,270.65605
353,250.91305
354,270.65605
355,271.26805
356,270.65605
357,270.65605
358,250.91305
359,250.91305
360,150.9497
361,150.9497
362,150.9497
363,150.9497
364,150.9497
365,150.9497
366,167.6357
367,240.9497
368,248.1807
369,248.1807
370,248.1807
371,248.1807
372,248.1807
373,248.1807
374,250.8497
375,250.8497
376,248.1807
377,248.1807
378,248.1807
379,248.1807
380,248.1807
381,248.1807
382,250.8497
383,239.9497
384,236.02238
385,231.02238
386,231.02238
387,231.02238
388,231.02238
389,249.02238
390,249.02238
391,236.02238
392,249.02238
393,249.02238
394,249.02238
395,249.02238
396,249.02238
397,249.02238
398,249.02238
399,249.02238
400,249.02238
401,249.02238
402,249.02238
403,249.02238
404,249.02238
405,249.02238
406,249.02238
407,231.02238
408,151.90294
409,151.90294
410,151.90294
411,151.90294
412,200.87494
413,221.90294
414,221.90294
415,231.01694
416,235.90294
417,235.90294
418,235.90294
419,235.90294
420,235.90294
421,235.90294
422,235.90294
423,235.90294
424,235.90294
425,231.01694
426,235.90294
427,235.90294
428,235.90294
429,235.90294
430,231.01694
431,221.90294
432,152.36153
433,152.36153
434,152.36153
435,152.36153
436,152.36153
437,192.36153
438,192.36153
439,192.36153
440,192.36153
441,192.36153
442,193.36153
443,226.47553
444,226.47553
445,193.36153
446,192.36153
447,192.36153
448,192.36153
449,192.36153
450,226.47553
451,226.47553
452,226.47553
453,192.36153
454,192.36153
455,192.36153
456,165.08742
457,151.06742
458,150.08742
459,150.08742
460,150.08742
461,165.08742
462,151.06742
463,165.08742
464,165.08742
465,165.08742
466,165.08742
467,165.08742
468,165.08742
469,165.08742
470,165.08742
471,165.08742
472,165.08742
473,165.08742
474,200.08742
475,205.08742
476,205.08742
477,200.08742
478,190.08742
479,165.08742
480,186.99517
481,186.99517
482,182.99517
483,182.99517
484,182.99517
485,189.10917
486,186.99517
487,189.10917
488,201.99517
489,202.99517
490,202.99517
491,202.99517
492,202.99517
493,202.99517
494,202.99517
495,202.99517
496,202.99517
497,202.99517
498,202.99517
499,202.99517
500,202.99517
501,202.99517
502,189.10917
503,186.99517
504,142.57937
505,145.05937
506,142.57937
507,142.57937
508,148.55937
509,187.69337
510,187.69337
511,192.57937
512,197.57937
513,268.57937
514,252.57937
515,262.57937
516,262.57937
517,262.57937
518,268.57937
519,268.57937
520,262.57937
521,252.57937
522,268.57937
523,268.57937
524,252.57937
525,205.36337
526,192.57937
527,187.69337
528,190.37579
529,200.27579
530,200.27579
531,200.27579
532,190.37579
533,220.37579
534,200.27579
535,125.37579
536,200.27579
537,200.27579
538,250.37579
539,250.37579
540,250.37579
541,250.37579
542,266.37579
543,266.37579
544,250.37579
545,250.37579
546,266.37579
547,270.37579
548,270.37579
549,250.37579
550,190.37579
551,125.37579
552,267.81655
553,241.81655
554,241.81655
555,241.81655
556,241.81655
557,267.81655
558,276.81655
559,241.81655
560,267.81655
561,351.81655
562,351.81655
563,351.81655
564,351.81655
565,351.81655
566,351.81655
567,351.81655
568,296.39955
569,241.81655
570,276.81655
571,351.81655
572,288.16755
573,267.81655
574,267.81655
575,241.81655
576,301.33838
577,301.33838
578,301.33838
579,275.46238
580,301.33838
581,301.33838
582,341.33838
583,301.33838
584,341.33838
585,341.33838
586,341.33838
587,341.33838
588,341.33838
589,341.33838
590,341.33838
591,341.33838
592,341.33838
593,341.33838
594,341.33838
595,341.33838
596,341.33838
597,341.33838
598,341.33838
599,301.33838
600,260.87134
601,245.47734
602,198.87134
603,198.87134
604,198.87134
605,199.36634
606,199.36634
607,315.87134
608,315.87134
609,315.87134
610,315.87134
611,315.87134
612,315.87134
613,315.87134
614,315.87134
615,315.87134
616,315.87134
617,315.87134
618,315.87134
619,315.87134
620,315.87134
621,315.87134
622,315.87134
623,315.87134
624,190.5626
625,190.5626
626,185.5626
627,185.5626
628,185.5626
629,185.5626
630,150.5626
631,185.5626
632,190.5626
633,190.6566
634,242.5626
635,265.5626
636,321.5626
637,321.5626
638,270.5626
639,265.5626
640,250.4406
641,242.5626
642,321.5626
643,321.5626
644,321.5626
645,321.5626
646,270.5626
647,190.5626
648,275.52794
649,275.52794
650,263.52794
651,263.52794
652,263.52794
653,290.52794
654,280.52794
655,321.52794
656,321.52794
657,321.52794
658,321.52794
659,350.52794
660,321.52794
661,321.52794
662,321.52794
663,321.52794
664,321.52794
665,321.52794
666,321.52794
667,321.52794
668,321.52794
669,321.52794
670,309.52794
671,275.52794
672,305.01391
673,263.22491
674,191.10791
675,182.99891
676,274.01391
677,286.01391
678,286.01391
679,306.42591
680,312.01391
681,312.01391
682,312.01391
683,320.01391
684,312.01391
685,320.01391
686,320.01391
687,320.01391
688,320.01391
689,312.01391
690,320.01391
691,320.01391
692,320.01391
693,312.01391
694,312.01391
695,286.01391
696,220.79938
697,220.79938
698,220.79938
699,215.40238
700,220.79938
701,265.79938
702,265.79938
703,283.79938
704,284.79938
705,310.79938
706,348.79938
707,348.79938
708,310.79938
709,350.29938
710,348.79938
711,348.79938
712,350.29938
713,300.79938
714,348.79938
715,348.79938
716,348.79938
717,348.79938
718,284.79938
719,265.79938
720,263.53517
721,263.53517
722,263.53517
723,263.53517
724,263.53517
725,285.53517
726,299.53517
727,310.53517
728,330.53517
729,299.53517
730,338.53517
731,338.53517
732,338.53517
733,338.53517
734,338.53517
735,338.53517
736,338.53517
737,310.53517
738,338.53517
739,338.53517
740,338.53517
741,338.53517
742,310.53517
743,299.53517
744,300.42295
745,295.42295
746,295.42295
747,295.42295
748,297.42295
749,300.42295
750,300.42295
751,300.42295
752,300.42295
753,300.42295
754,300.42295
755,309.92295
756,309.92295
757,309.92295
758,337.92295
759,337.92295
760,337.92295
761,300.42295
762,337.92295
763,337.92295
764,337.92295
765,309.92295
766,300.42295
767,300.42295
768,253.66255
769,253.66255
770,253.66255
771,253.66255
772,253.66255
773,253.66255
774,253.66255
775,281.66255
776,277.66255
777,277.66255
778,281.66255
779,302.66155
780,297.66255
781,281.66255
782,277.66255
783,277.66255
784,277.66255
785,277.66255
786,297.66255
787,307.46255
788,302.66155
789,277.66255
790,277.66255
791,267.70255
792,276.03537
793,253.03537
794,253.03537
795,253.03537
796,253.03537
797,253.03537
798,187.03537
799,199.85737
800,269.57437
801,286.03537
802,286.03537
803,286.03537
804,286.03537
805,286.03537
806,286.03537
807,286.03537
808,286.03537
809,286.03537
810,339.03537
811,339.03537
812,339.03537
813,339.03537
814,286.03537
815,286.03537
816,267.7276
817,189.6956
818,157.1886
819,157.1886
820,267.7276
821,284.1886
822,284.1886
823,284.1886
824,284.1886
825,306.1886
826,306.1886
827,342.1886
828,306.1886
829,342.1886
830,342.1886
831,342.1886
832,306.1886
833,306.1886
834,342.1886
835,352.1886
836,352.1886
837,306.1886
838,284.1886
839,282.1886
840,267.57031
841,267.57031
842,176.61431
843,151.57031
844,267.57031
845,286.57031
846,286.57031
847,286.57031
848,286.57031
849,286.57031
850,377.57031
851,500.57031
852,286.57031
853,286.57031
854,377.57031
855,377.57031
