,cop_per_kwh
0,40.06891
1,37.83791
2,37.83791
3,37.83791
4,37.83791
5,36.10891
6,36.10891
7,36.10891
8,36.10891
9,36.10891
10,37.83791
11,37.83691
12,37.83691
13,37.83691
14,37.83691
15,37.83791
16,37.83791
17,37.83791
18,60.06891
19,79.56891
20,60.06891
21,60.06891
22,40.06891
23,37.83791
24,36.00708
25,36.00708
26,36.00708
27,36.00708
28,36.00708
29,36.00708
30,37.62808
31,37.62908
32,48.86008
33,59.86008
34,59.86008
35,59.86008
36,59.86008
37,59.86008
38,59.86008
39,59.86008
40,59.86008
41,59.86108
42,79.36008
43,79.36008
44,79.36008
45,79.36008
46,59.86008
47,48.86008
48,37.7832
49,37.7832
50,37.3232
51,37.3232
52,37.7832
53,37.7832
54,37.7832
55,39.0522
56,48.2832
57,54.2832
58,76.2832
59,76.2832
60,60.2832
61,76.2832
62,76.2832
63,76.2832
64,76.2832
65,76.2832
66,76.2832
67,84.7832
68,76.2832
69,76.2832
70,54.2832
71,39.0522
72,36.39487
73,37.66387
74,36.39487
75,36.39487
76,36.39487
77,37.66387
78,37.66387
79,44.89487
80,49.88987
81,69.89487
82,69.89487
83,69.89487
84,69.89487
85,69.89487
86,69.89487
87,69.89487
88,69.89487
89,69.89487
90,73.89487
91,73.89487
92,73.89487
93,69.89487
94,49.88987
95,44.89487
96,38.56778
97,38.56778
98,38.56678
99,38.56678
100,38.56778
101,38.56778
102,40.79878
103,41.79878
104,68.79878
105,68.79878
106,68.79878
107,68.79878
108,68.79878
109,68.79878
110,68.79878
111,68.79878
112,68.79878
113,68.79878
114,70.79878
115,70.79878
116,70.79878
117,68.79878
118,68.79878
119,41.79878
120,39.24481
121,39.24581
122,39.24481
123,39.24481
124,39.24481
125,39.24581
126,39.24581
127,42.47681
128,45.47681
129,45.47681
130,66.47681
131,66.47681
132,50.47681
133,50.47681
134,66.47681
135,50.47681
136,50.47681
137,50.47681
138,66.47681
139,66.47681
140,66.47681
141,66.47681
142,45.47681
143,42.47681
144,37.48324
145,39.39624
146,37.48324
147,37.48324
148,37.48324
149,39.39524
150,39.39524
151,39.39624
152,44.38524
153,63.38524
154,63.38524
155,63.38524
156,63.38524
157,63.38524
158,66.38524
159,44.38524
160,44.38524
161,63.38524
162,66.38524
163,66.38524
164,66.38524
165,66.38524
166,44.38524
167,39.39624
168,39.47518
169,39.47518
170,39.47418
171,39.47418
172,39.47418
173,39.47418
174,37.56218
175,39.47418
176,39.47518
177,39.47518
178,44.46418
179,44.46418
180,44.46418
181,44.46418
182,44.46418
183,44.46418
184,44.46418
185,44.46418
186,63.46418
187,76.46418
188,71.46418
189,55.46418
190,55.46418
191,44.46418
192,42.44241
193,42.44241
194,40.53041
195,40.53041
196,42.44341
197,42.44241
198,40.53041
199,42.44341
200,42.44341
201,47.43241
202,47.43241
203,63.43241
204,63.43241
205,47.43241
206,47.43241
207,47.43241
208,47.43241
209,47.43241
210,66.43241
211,79.43241
212,66.43241
213,64.43241
214,63.43241
215,42.44341
216,44.22338
217,44.22338
218,44.22338
219,44.22338
220,44.22338
221,46.21238
222,46.21238
223,46.21238
224,64.21238
225,64.21238
226,64.71238
227,64.71238
228,64.71238
229,64.71238
230,64.71238
231,64.71238
232,64.71238
233,64.71238
234,64.71238
235,65.21238
236,64.71238
237,64.71238
238,64.21238
239,46.21238
240,43.47811
241,43.47811
242,43.47911
243,41.56611
244,43.47811
245,43.47911
246,44.46811
247,54.46811
248,62.46811
249,62.46811
250,62.46811
251,62.46811
252,62.46811
253,62.46811
254,62.46811
255,62.46811
256,62.46811
257,62.46811
258,63.46811
259,75.46811
260,63.46811
261,62.46811
262,62.46811
263,44.46811
264,43.91391
265,43.91391
266,43.91391
267,43.92491
268,43.91391
269,43.92391
270,43.92491
271,50.91391
272,59.91391
273,59.91391
274,62.11391
275,62.11391
276,62.11391
277,62.11391
278,62.11391
279,62.11391
280,62.11391
281,62.11391
282,62.11391
283,79.41391
284,62.11391
285,62.11391
286,50.91391
287,43.92491
288,41.18245
289,41.17245
290,41.17245
291,41.17245
292,41.18345
293,41.18345
294,41.18345
295,42.17245
296,55.17245
297,55.17245
298,55.17245
299,55.17245
