,cop_per_kwh
0,70.81864
1,68.31364
2,66.61364
3,66.61364
4,66.61364
5,66.61364
6,66.31864
7,66.31864
8,66.61364
9,66.61364
10,66.61364
11,66.61364
12,66.61364
13,66.61364
14,66.61364
15,66.61364
16,66.61364
17,66.61364
18,75.31864
19,75.31864
20,75.31864
21,70.81864
22,66.61364
23,66.61364
24,70.81864
25,70.81864
26,70.81864
27,66.31864
28,66.31864
29,70.81864
30,72.81864
31,75.25864
32,75.25864
33,75.25864
34,75.25864
35,80.31864
36,75.25864
37,75.25864
38,75.25864
39,75.25864
40,75.25864
41,75.25864
42,81.31864
43,81.31864
44,81.31864
45,80.31864
46,75.25864
47,75.25864
48,74.75864
49,74.75864
50,74.75864
51,74.75864
52,74.75864
53,74.75864
54,74.75864
55,77.31864
56,78.31864
57,78.31864
58,78.31864
59,78.31864
60,78.31864
61,78.31864
62,78.31864
63,78.31864
64,78.31864
65,78.31864
66,82.31864
67,93.31864
68,82.31864
69,82.31864
70,78.31864
71,77.31864
72,87.31864
73,87.31864
74,87.31864
75,87.31864
76,87.31864
77,87.31864
78,87.31864
79,87.31864
80,90.31864
81,90.31864
82,90.31864
83,90.31864
84,90.31864
85,90.31864
86,90.31864
87,90.31864
88,90.31864
89,90.31864
90,90.75864
91,90.75864
92,90.75864
93,90.75864
94,90.31864
95,87.31864
96,93.21864
97,90.75864
98,90.75864
99,90.75864
100,90.75864
101,90.75864
102,90.75864
103,90.75864
104,93.21864
105,93.21864
106,93.21864
107,93.31864
108,93.21864
109,93.21864
110,93.21864
111,93.21864
112,93.21864
113,93.21864
114,98.31864
115,98.31864
116,98.31864
117,93.31864
118,93.21864
119,93.21864
120,96.30864
121,96.30864
122,96.30864
123,96.30864
124,96.30864
125,96.30864
126,96.30864
127,96.30864
128,96.30864
129,96.30864
130,96.30864
131,96.30864
132,96.30864
133,96.30864
134,96.30864
135,96.30864
136,96.30864
137,96.30864
138,97.31864
139,97.31864
140,97.31864
141,97.31864
142,97.31864
143,96.30864
144,96.31864
145,96.31864
146,96.31864
147,96.31864
148,96.31864
149,96.31864
150,96.31864
151,96.31864
152,96.31864
153,97.31864
154,97.31864
155,97.31864
156,97.31864
157,97.31864
158,97.31864
159,97.31864
160,97.31864
161,97.31864
162,97.82864
163,97.82864
164,97.82864
165,97.31864
166,97.31864
167,97.31864
168,96.32364
169,96.32364
170,96.32364
171,96.32364
172,96.32364
173,96.32364
174,97.91864
175,97.91864
176,97.91864
177,97.91864
178,97.91864
179,97.91864
180,97.91864
181,97.91864
182,97.91864
183,97.91864
184,97.91864
185,97.91864
186,102.31864
187,102.31864
188,102.31864
189,97.91864
190,97.91864
191,96.32364
192,98.32364
193,98.32364
194,98.32364
195,98.32364
196,98.32364
197,98.32364
198,98.32364
199,98.32364
200,98.81864
201,98.81864
202,98.81864
203,98.81864
204,98.81864
205,98.81864
206,98.81864
207,98.81864
208,98.81864
209,98.81864
210,105.81864
211,105.81864
212,101.31864
213,98.81864
214,98.81864
215,98.32364
216,98.81864
217,98.81864
218,98.81864
219,98.81864
220,98.81864
221,98.81864
222,98.81864
223,98.81864
224,99.81864
225,99.81864
226,99.81864
227,99.81864
228,99.81864
229,99.81864
230,99.81864
231,99.81864
232,99.81864
233,99.81864
234,106.21864
235,106.21864
236,106.21864
237,105.81864
238,98.81864
239,98.81864
240,93.31864
241,93.31864
242,72.31864
243,31.05364
244,31.05364
245,90.31864
246,93.31864
247,93.31864
248,97.31864
249,97.31864
250,97.31864
251,97.31864
252,97.31864
253,97.31864
254,97.31864
255,97.31864
256,97.31864
257,97.31864
258,106.56864
259,106.56864
260,97.31864
261,97.31864
262,96.18264
263,95.27064
264,95.31864
265,93.28864
266,92.51864
267,93.28864
268,94.31864
269,95.31864
270,95.31864
271,95.31864
272,95.51864
273,95.51864
274,95.51864
275,95.51864
276,95.51864
277,95.51864
278,95.51864
279,95.51864
280,95.51864
281,95.51864
282,103.81864
283,103.81864
284,103.81864
285,95.51864
286,95.51864
287,95.31864
288,95.41864
289,95.41864
290,95.41864
291,95.41864
292,95.41864
293,95.41864
294,93.91864
295,95.41864
296,95.41864
297,95.41864
298,95.41864
299,95.41864
300,96.31864
301,96.31864
302,95.41864
303,95.41864
304,95.41864
305,95.41864
306,101.31864
307,105.91864
308,105.91864
309,101.31864
310,95.41864
311,95.41864
312,92.49364
313,89.31864
314,89.31864
315,89.31864
316,89.31864
317,94.31864
318,95.31864
319,95.61864
320,95.61864
321,95.61864
322,95.61864
323,95.61864
324,95.61864
325,95.61864
326,98.31864
327,95.61864
328,95.61864
329,95.61864
330,106.91864
331,106.91864
332,106.91864
333,95.61864
334,95.61864
335,92.49364
336,89.06364
337,72.31864
338,72.31864
339,72.31864
340,72.31864
341,72.31864
342,89.19864
343,89.31864
344,92.31864
345,92.31864
346,92.31864
347,97.01864
348,97.01864
349,92.31864
350,92.31864
351,92.31864
352,92.31864
353,92.31864
354,98.31864
355,100.31864
356,98.31864
357,97.01864
358,89.31864
359,72.31864
360,91.31864
361,91.31864
362,91.31864
363,91.31864
364,91.31864
365,91.31864
366,98.31864
367,101.51864
368,101.51864
369,101.51864
370,101.51864
371,102.31864
372,102.31864
373,102.31864
374,102.31864
375,102.31864
376,101.51864
377,101.51864
378,102.31864
379,102.31864
380,102.31864
381,102.31864
382,98.31864
383,91.31864
384,93.28864
385,90.31864
386,90.31864
387,90.31864
388,90.31864
389,97.31864
390,101.61864
391,101.61864
392,101.61864
393,101.81864
394,101.61864
395,101.81864
396,101.61864
397,101.61864
398,101.61864
399,101.61864
400,101.61864
401,101.61864
402,108.31864
403,108.31864
404,101.81864
405,101.61864
406,101.61864
407,97.31864
408,97.21864
409,92.28864
410,90.31864
411,90.31864
412,97.21864
413,97.21864
414,97.21864
415,97.21864
416,97.31864
417,97.31864
418,97.31864
419,101.81864
420,101.81864
421,97.31864
422,97.31864
423,97.31864
424,97.31864
425,97.31864
426,105.31864
427,108.31864
428,105.31864
429,101.81864
430,97.21864
431,97.21864
432,97.30864
433,97.30864
434,97.30864
435,97.30864
436,97.30864
437,97.30864
438,97.30864
439,97.30864
440,97.31864
441,97.31864
442,97.31864
443,97.31864
444,97.31864
445,97.31864
446,97.31864
447,97.31864
448,97.31864
449,97.31864
450,97.31864
451,103.31864
452,103.31864
453,97.31864
454,97.31864
455,97.30864
456,99.31864
457,99.31864
458,99.31864
459,99.31864
460,99.31864
461,99.31864
462,95.31864
463,99.31864
464,99.31864
465,99.31864
466,99.31864
467,99.31864
468,102.31864
469,99.31864
470,99.31864
471,99.31864
472,99.31864
473,99.31864
474,102.31864
475,108.31864
476,108.31864
477,102.31864
478,99.31864
479,99.31864
480,95.31864
481,95.31864
482,95.31864
483,95.31864
484,95.31864
485,102.21864
486,102.21864
487,102.21864
488,108.31864
489,108.31864
490,108.31864
491,109.31864
492,108.31864
493,108.31864
494,109.31864
495,108.31864
496,108.31864
497,108.31864
498,109.51864
499,109.51864
500,109.51864
501,109.31864
502,102.21864
503,102.21864
504,89.19864
505,89.19864
506,89.19864
507,89.19864
508,89.19864
509,100.31864
510,107.81864
511,107.81864
512,107.81864
513,107.81864
514,108.81864
515,108.81864
516,108.81864
517,108.81864
518,108.81864
519,108.81864
520,107.81864
521,107.81864
522,112.31864
523,115.31864
524,112.31864
525,107.81864
526,107.81864
527,99.31864
528,89.19864
529,80.31864
530,80.31864
531,75.31864
532,80.31864
533,101.31864
534,101.31864
535,101.31864
536,101.31864
537,104.31864
538,104.31864
539,105.31864
540,105.31864
541,104.31864
542,104.31864
543,104.31864
544,104.31864
545,101.31864
546,105.31864
547,112.31864
548,112.31864
549,104.31864
550,101.31864
551,89.19864
552,103.31864
553,101.31864
554,101.31864
555,101.31864
556,103.31864
557,103.31864
558,103.31864
559,103.31864
560,104.31864
561,104.31864
562,104.31864
563,104.31864
564,105.41864
565,104.31864
566,105.41864
567,104.31864
568,104.31864
569,104.31864
570,112.31864
571,112.31864
572,112.21864
573,104.31864
574,103.31864
575,103.31864
576,102.31864
577,95.29864
578,90.31864
579,90.31864
580,102.31864
581,102.31864
582,103.81864
583,103.81864
584,103.81864
585,103.81864
586,109.31864
587,109.31864
588,109.31864
589,103.81864
590,109.31864
591,103.81864
592,103.81864
593,103.81864
594,109.31864
595,109.31864
596,109.31864
597,103.81864
598,103.81864
599,102.31864
600,103.21864
601,102.31864
602,102.31864
603,102.31864
604,102.31864
605,103.21864
606,103.21864
607,103.21864
608,103.21864
609,103.31864
610,103.31864
611,103.31864
612,103.31864
613,103.31864
614,103.21864
615,103.21864
616,103.21864
617,103.21864
618,103.31864
619,107.31864
620,103.31864
621,103.31864
622,103.21864
623,103.21864
624,95.29864
625,90.31864
626,89.19864
627,89.19864
628,89.19864
629,89.19864
630,89.19864
631,89.19864
632,90.31864
633,102.31864
634,102.75864
635,102.75864
636,102.75864
637,102.75864
638,102.31864
639,102.31864
640,102.31864
641,102.31864
642,102.75864
643,103.31864
644,103.31864
645,102.75864
646,102.75864
647,95.29864
648,100.31864
649,100.31864
650,100.31864
651,100.31864
652,100.31864
653,100.31864
654,100.31864
655,100.31864
656,100.31864
657,102.31864
658,102.31864
659,102.31864
660,102.31864
661,102.31864
662,102.31864
663,102.31864
664,102.31864
665,102.31864
666,108.31864
667,111.31864
668,108.31864
669,102.31864
670,100.31864
671,100.31864
672,89.19864
673,31.06664
674,31.06664
675,31.06664
676,31.06664
677,90.31864
678,100.31864
679,100.31864
680,100.31864
681,100.31864
682,100.31864
683,100.31864
684,100.31864
685,100.31864
686,100.31864
687,100.31864
688,100.31864
689,100.31864
690,103.31864
691,103.31864
692,103.31864
693,100.31864
694,100.31864
695,89.19864
696,92.25864
697,92.25864
698,90.31864
699,90.31864
700,92.25864
701,92.25864
702,98.31864
703,98.31864
704,98.31864
705,98.31864
706,103.31864
707,103.31864
708,103.31864
709,98.31864
710,103.31864
711,103.31864
712,103.31864
713,103.31864
714,103.31864
715,109.31864
716,103.31864
717,103.31864
718,92.25864
719,92.25864
720,88.31864
721,87.31864
722,87.31864
723,81.31864
724,87.31864
725,91.81864
726,91.81864
727,91.81864
728,91.81864
729,91.81864
730,91.81864
731,98.31864
732,91.81864
733,91.81864
734,91.81864
735,91.81864
736,91.81864
737,91.81864
738,99.80864
739,99.80864
740,99.80864
741,98.31864
742,91.81864
743,88.31864
744,88.34154
745,88.34154
746,88.34154
747,88.34154
748,88.34154
749,91.35154
750,91.35154
751,91.35154
752,97.85154
753,97.85154
754,97.85154
755,97.85154
756,97.85154
757,97.85154
758,97.85154
759,97.85154
760,97.85154
761,97.85154
762,107.75154
763,114.85154
764,107.75154
765,97.85154
766,91.35154
767,89.83154
768,80.85154
769,80.85154
770,80.85154
771,30.12354
772,86.85154
773,87.85154
774,87.85154
775,90.85154
776,94.60154
777,94.60154
778,94.60154
779,94.60154
780,94.60154
781,94.60154
782,94.60154
783,94.60154
784,94.60154
785,94.60154
786,94.60154
787,98.35154
788,94.60154
789,94.60154
790,90.85154
791,79.85154
792,86.85254
793,86.85254
794,86.85254
795,86.85254
796,86.85254
797,86.85254
798,86.85254
799,86.85254
800,86.85254
801,86.85254
802,87.83154
803,87.85154
804,87.85154
805,87.85154
806,87.83154
807,86.85254
808,86.85254
809,86.85254
810,91.85154
811,91.85154
812,91.85154
813,89.85154
814,87.85154
815,86.85254
816,88.83154
817,88.83154
818,88.83154
819,88.83154
820,88.83154
821,89.85154
822,90.85154
823,90.85154
824,91.85154
825,91.85154
826,91.85154
827,91.85154
828,91.85154
829,91.85154
830,91.85154
831,91.85154
832,91.85154
833,91.85154
834,96.85154
835,96.85154
836,96.85154
837,91.85154
838,90.85154
839,89.85154
840,91.65154
841,91.35154
842,91.35154
843,91.35154
844,91.65154
845,97.85154
846,97.85154
847,98.85154
848,98.85154
849,98.85254
850,98.85254
851,98.85254
852,98.85254
853,98.85254
854,98.85254
855,98.85254
856,98.85154
857,98.85254
858,98.85254
859,159.85154
860,98.85654
861,98.85254
862,97.85154
863,97.85154
864,97.85154
865,97.85154
866,97.85154
867,97.85154
868,97.85154
869,98.85154
870,98.85254
871,98.85254
872,98.85254
873,98.85254
874,98.85754
875,104.85154
876,98.85254
877,98.85254
878,98.85754
879,104.85154
880,104.85154
881,98.85254
882,114.85154
883,159.85154
884,114.85154
885,99.85154
886,98.85254
887,97.85154
888,100.85154
889,100.85154
890,100.85154
891,100.85154
892,100.85154
893,103.85154
894,109.85254
895,109.85254
896,109.85254
897,109.85254
898,114.85154
899,114.85154
900,109.85254
901,109.85254
902,109.85254
903,109.85254
904,109.85254
905,109.85254
906,109.85254
907,119.85154
908,114.85154
909,109.85254
910,103.85154
911,100.85154
912,109.85254
913,108.85154
914,108.85154
915,108.85154
916,109.85254
917,115.85154
918,115.85154
919,115.85154
920,115.85154
921,115.85154
922,115.85154
923,119.85054
924,119.85054
925,115.85154
926,119.85054
927,119.85054
928,119.85054
929,115.85154
930,119.85054
931,119.85154
932,119.85054
933,115.85154
934,115.85154
935,109.85254
936,117.85154
937,117.85154
938,108.85154
939,108.85154
940,117.85154
941,117.85154
942,117.85154
943,117.85154
944,117.85154
945,118.85154
946,119.85154
947,119.85154
948,119.85154
949,119.85154
950,117.85154
951,117.85154
952,117.85154
953,117.85154
954,119.85154
955,126.85154
956,119.85154
957,119.85154
958,117.85154
959,117.85154
960,119.85154
961,119.85154
962,119.85154
963,119.85154
964,119.85154
965,119.85154
966,119.85154
967,119.85154
968,119.85154
969,119.85154
970,119.85154
971,119.85154
972,119.95154
973,119.85154
974,119.85154
975,119.85154
976,119.85154
977,119.85154
978,119.95154
979,124.85154
980,119.95154
981,119.95154
982,119.85154
983,119.85154
984,119.85154
985,118.85154
986,118.85154
987,118.85154
988,119.85154
989,119.85154
990,119.95154
991,119.95154
992,119.95154
993,119.95154
994,124.85154
995,124.85154
996,124.85154
997,124.85154
998,124.85154
999,124.85154
1000,124.85154
1001,124.85154
1002,125.85154
1003,150.85154
1004,150.85154
1005,124.85154
1006,119.95154
1007,119.85154
1008,118.85154
1009,118.85154
1010,117.85154
1011,117.85154
1012,118.85154
1013,120.85154
1014,120.85154
1015,120.85154
1016,123.85154
1017,123.85154
1018,123.85154
1019,123.85154
1020,123.85154
1021,123.85154
1022,123.85154
1023,123.85154
1024,123.85154
1025,123.85154
1026,127.85154
1027,149.85154
1028,127.85154
1029,123.85154
1030,120.85154
1031,120.85154
1032,109.85154
1033,109.85154
1034,109.85154
1035,109.85154
1036,109.85154
1037,116.85154
1038,117.35154
1039,116.85154
1040,117.35154
1041,117.95154
1042,117.35154
1043,117.35154
1044,117.95154
1045,117.95154
1046,117.95154
1047,117.95154
1048,117.95154
1049,117.95154
1050,119.85154
1051,124.85154
1052,117.95154
1053,117.95154
1054,116.85154
1055,114.85154
1056,108.85154
1057,108.85154
1058,108.85154
1059,108.85154
1060,108.85154
1061,109.85154
1062,115.85154
1063,115.85154
1064,115.95154
1065,115.95154
1066,115.95154
1067,115.95154
1068,115.95154
1069,115.95154
1070,115.95154
1071,115.95154
1072,115.95154
1073,115.95154
1074,116.85154
1075,116.85154
1076,116.85154
1077,115.95154
1078,115.85154
1079,108.85154
1080,108.85154
1081,108.85154
1082,108.85154
1083,108.85154
1084,108.85154
1085,108.95154
1086,111.85154
1087,111.85154
1088,115.75154
1089,115.75154
1090,116.35154
1091,116.35154
1092,115.75154
1093,115.75154
1094,115.75154
1095,115.75154
1096,115.75154
1097,115.75154
1098,116.85154
1099,119.85154
1100,116.85154
1101,116.35154
1102,111.85154
1103,108.95154
1104,107.90154
1105,107.90154
1106,107.90154
1107,107.90154
1108,107.90154
1109,107.90154
1110,107.90154
1111,109.85154
1112,110.85154
1113,111.85154
1114,111.85154
1115,111.85154
1116,111.85154
1117,110.85154
1118,110.85154
1119,109.85154
1120,109.85154
1121,111.85154
1122,112.35154
1123,112.35154
1124,112.35154
1125,112.35154
1126,109.85154
1127,107.90154
1128,106.85154
1129,106.85154
1130,105.85154
1131,105.85154
1132,105.85154
1133,105.85154
1134,105.85154
1135,105.85154
1136,107.65154
1137,107.65154
1138,107.65154
1139,107.85154
1140,107.85154
1141,107.65154
1142,107.65154
1143,107.65154
1144,107.65154
1145,107.65154
1146,107.85154
1147,110.35154
1148,108.35154
1149,107.85154
1150,107.65154
1151,106.85154
1152,89.85154
1153,89.85154
1154,89.85154
1155,89.85154
1156,89.85154
1157,98.95154
1158,101.85154
1159,98.95154
1160,103.85154
1161,104.85154
1162,107.35154
1163,107.35154
1164,107.35154
1165,103.85154
1166,107.35154
1167,107.35154
1168,107.35154
1169,107.35154
1170,108.35154
1171,108.35154
1172,108.35154
1173,107.75154
1174,98.95154
1175,98.95154
1176,89.85154
1177,89.83154
1178,71.84954
1179,39.85154
1180,89.85154
1181,96.55154
1182,97.85154
1183,96.85154
1184,98.35154
1185,98.35154
1186,98.35154
1187,98.35154
1188,98.35154
1189,98.35154
1190,98.35154
1191,98.35154
1192,98.35154
1193,98.35154
1194,98.85154
1195,101.85154
1196,98.85154
1197,98.35154
1198,96.55154
1199,96.55154
1200,30.12354
1201,30.12354
1202,30.12354
1203,30.12354
1204,30.12354
1205,89.85154
1206,93.95154
1207,93.95154
1208,93.95154
1209,93.95154
1210,93.95154
1211,93.95154
1212,93.95154
1213,93.95154
1214,93.95154
1215,93.95154
1216,93.95154
1217,93.95154
1218,98.35154
1219,98.35154
1220,98.35154
1221,93.95154
1222,93.95154
1223,33.37754
1224,89.05154
1225,89.05154
1226,89.05154
1227,89.05154
1228,89.05154
1229,89.85154
1230,89.85154
1231,89.85154
1232,89.85154
1233,89.85154
1234,89.85154
1235,89.85154
1236,89.85154
1237,89.85154
1238,89.85154
1239,89.85154
1240,89.85154
1241,89.85154
1242,94.85154
1243,108.85154
1244,94.85154
1245,89.85154
1246,89.85154
1247,89.05154
1248,79.85154
1249,33.37754
1250,30.12454
1251,30.12454
1252,30.12454
1253,86.83154
1254,87.10154
1255,87.10154
1256,87.10154
1257,87.10154
1258,87.10154
1259,87.10154
1260,87.10154
1261,87.10154
1262,87.10154
1263,87.10154
1264,87.10154
1265,87.10154
1266,89.85154
1267,89.85154
1268,89.85154
1269,87.10154
1270,87.10154
1271,81.85154
1272,86.79154
1273,86.79154
1274,86.79154
1275,86.79154
1276,86.79154
1277,86.79154
1278,86.79154
1279,87.85154
1280,89.85154
1281,89.85154
1282,89.85154
1283,89.85154
1284,89.85154
1285,89.85154
1286,89.85154
1287,89.85154
1288,89.85154
1289,89.85154
1290,104.85154
1291,105.85154
1292,105.85154
1293,89.85154
1294,89.85154
1295,87.85154
1296,84.34154
1297,84.34154
1298,83.34154
1299,79.85154
1300,79.85154
1301,82.85154
1302,79.85154
1303,83.34154
1304,84.34154
1305,84.34154
1306,84.34154
1307,84.34154
1308,84.34154
1309,84.34154
1310,84.34154
1311,84.34154
1312,84.34154
1313,84.34154
1314,86.83154
1315,87.85154
1316,87.85154
1317,84.85154
1318,84.34154
1319,83.34154
1320,84.34154
1321,84.34154
1322,84.34154
1323,84.34154
1324,84.34154
1325,84.85154
1326,86.35154
1327,86.35154
1328,89.85154
1329,89.85154
1330,89.85154
1331,89.85154
1332,89.85154
1333,89.85154
1334,89.85154
1335,89.85154
1336,89.85154
1337,89.85154
1338,111.85154
1339,111.85154
1340,111.85154
1341,89.85154
1342,86.35154
1343,84.75154
1344,85.34154
1345,85.34154
1346,85.34154
1347,85.34154
1348,85.34154
1349,89.35154
1350,89.85154
1351,89.85154
1352,89.85154
1353,89.85154
1354,89.85154
1355,104.85154
1356,89.85154
1357,89.85154
1358,89.85154
1359,123.70854
1360,123.70854
1361,89.85154
1362,123.85054
1363,143.31254
1364,123.85054
1365,89.85154
1366,89.35154
1367,85.34154
1368,84.85154
1369,84.85154
1370,81.85154
1371,84.83154
1372,84.85154
1373,87.85154
1374,89.79154
1375,89.79154
1376,89.79154
1377,89.79154
1378,94.85154
1379,94.85154
1380,94.85154
1381,94.85154
1382,94.85154
1383,94.85154
1384,89.79154
1385,89.79154
1386,94.85154
1387,94.85154
1388,94.85154
1389,89.79154
1390,89.79154
1391,85.85154
1392,88.85154
1393,88.85154
1394,88.85154
1395,88.85154
1396,88.85154
1397,89.83154
1398,89.83154
1399,89.83154
1400,93.85154
1401,93.85154
1402,93.85154
1403,93.85154
1404,93.85154
1405,93.85154
1406,93.85154
1407,93.85154
1408,93.85154
1409,93.85154
1410,94.85154
1411,94.85154
1412,94.85154
1413,93.85154
1414,89.83154
1415,89.83154
1416,92.48941
1417,91.58941
1418,91.58941
1419,91.58941
1420,92.48941
1421,92.48941
1422,92.48941
1423,95.48841
1424,99.48941
1425,99.48941
1426,105.98941
1427,105.98941
1428,105.98941
1429,105.98941
1430,99.48941
1431,99.48941
1432,99.48941
1433,99.48941
1434,106.48941
1435,106.48941
1436,106.48941
1437,105.98941
1438,99.48941
1439,95.48841
1440,91.56941
1441,89.48941
1442,89.48941
1443,89.46941
1444,89.48941
1445,89.48941
1446,89.48941
1447,89.48941
1448,89.93941
1449,91.56941
1450,91.56941
1451,91.56941
1452,91.56941
1453,91.56941
1454,91.56941
1455,89.93941
1456,89.93941
1457,91.56941
1458,91.58941
1459,106.48941
1460,106.48941
1461,91.56941
1462,91.56941
1463,89.93941
1464,89.93941
1465,88.48941
1466,88.48941
1467,88.48941
1468,88.48941
1469,91.48941
1470,91.48941
1471,91.48941
1472,91.56941
1473,91.56941
1474,91.56941
1475,91.56941
1476,91.56941
1477,91.56941
1478,91.56941
1479,91.56941
1480,91.56941
1481,91.56941
1482,102.48941
1483,102.48941
1484,102.48941
1485,91.56941
1486,91.48941
1487,89.46941
1488,91.48941
1489,90.48941
1490,90.48941
1491,90.48941
1492,91.48941
1493,105.48941
1494,105.48941
1495,105.48941
1496,106.48941
1497,106.48941
1498,106.48941
1499,106.48941
1500,106.48941
1501,106.48941
1502,106.48941
1503,106.48941
1504,106.48941
1505,106.48941
1506,106.48941
1507,106.48941
1508,106.48941
1509,105.48941
1510,105.48941
1511,101.48941
1512,87.98941
1513,87.98941
1514,86.48941
1515,86.48941
1516,87.98941
1517,87.98941
1518,87.98941
1519,89.93941
1520,100.48941
1521,100.48941
1522,100.48941
1523,100.48941
1524,100.48941
1525,100.48941
1526,100.48941
1527,100.48941
1528,100.48941
1529,100.48941
1530,105.48941
1531,105.48941
1532,105.48941
1533,100.48941
1534,87.98941
1535,87.98941
1536,89.47941
1537,89.47941
1538,89.47941
1539,89.47941
1540,89.47941
1541,89.47941
1542,89.47941
1543,89.93941
1544,90.48941
1545,95.48941
1546,95.48941
1547,95.48941
1548,95.48941
1549,95.48941
1550,95.48941
1551,95.48941
1552,95.48941
1553,95.48941
1554,105.48941
1555,105.48941
1556,105.48941
1557,95.48941
1558,89.47941
1559,89.47941
1560,89.47941
1561,86.48941
1562,86.48941
1563,86.48941
1564,89.47941
1565,89.47941
1566,89.47941
1567,89.93941
1568,91.48941
1569,91.48941
1570,96.48941
1571,96.48941
1572,96.48941
1573,91.48941
1574,96.48941
1575,91.48941
1576,91.48941
1577,91.48941
1578,103.48941
1579,105.48941
1580,103.48941
1581,96.48941
1582,89.93941
1583,89.47941
1584,89.47941
1585,89.47941
1586,89.47941
1587,89.47941
1588,89.47941
1589,89.47941
1590,89.47941
1591,89.48941
1592,91.48941
1593,105.48941
1594,105.48941
1595,105.48941
1596,105.48941
1597,105.48941
1598,105.48941
1599,91.48941
1600,91.48941
1601,101.48941
1602,105.48941
1603,111.48941
1604,105.48941
1605,105.48941
1606,91.48941
1607,89.48941
1608,85.66941
1609,84.48941
1610,34.07941
1611,30.83341
1612,30.83341
1613,34.07941
1614,30.83341
1615,84.48941
1616,85.66941
1617,85.66941
1618,85.66941
1619,86.48941
1620,86.48941
1621,86.48941
1622,85.66941
1623,85.66941
1624,85.66941
1625,85.66941
1626,105.48941
1627,105.48941
1628,105.48941
1629,91.48941
1630,85.66941
1631,85.66941
1632,86.48941
1633,86.48941
1634,81.48941
1635,81.48941
1636,84.48941
1637,87.46941
1638,89.93941
1639,90.98941
1640,90.98941
1641,90.98941
1642,90.98941
1643,90.98941
1644,90.98941
1645,90.98941
1646,90.98941
1647,90.98941
1648,90.98941
1649,90.98941
1650,116.48941
1651,122.48941
1652,116.48941
1653,90.98941
1654,90.98941
1655,86.48941
1656,81.48941
1657,81.48941
1658,81.48941
1659,81.48941
1660,81.48941
1661,86.48941
1662,89.93941
1663,90.48941
1664,90.48941
1665,90.48941
1666,90.48941
1667,90.48941
1668,90.48941
1669,90.48941
1670,90.48941
1671,90.48941
1672,90.48941
1673,90.48941
1674,126.48941
1675,126.48941
1676,126.48941
1677,90.48941
1678,89.93941
1679,86.48941
1680,34.08941
1681,34.07941
1682,30.83341
1683,30.83341
1684,34.08941
1685,75.48941
1686,84.48941
1687,86.48841
1688,86.48941
1689,89.93941
1690,89.93941
1691,99.48941
1692,89.93941
1693,89.93941
1694,89.93941
1695,89.93941
1696,89.93941
1697,89.93941
1698,99.48941
1699,99.48941
1700,99.48941
1701,89.93941
1702,86.48941
1703,86.46941
1704,34.08941
1705,34.08941
1706,34.07941
1707,34.08941
1708,34.08941
1709,85.48941
1710,85.96941
1711,86.48941
1712,89.48941
1713,89.88941
1714,89.88941
1715,89.93941
1716,89.93941
1717,89.93941
1718,89.93941
1719,89.93941
1720,89.93941
1721,89.88941
1722,98.48941
