,cop_per_kwh
455,125.36599
456,97.64053
457,95.64053
458,94.64053
459,109.61653
460,95.64053
461,97.64053
462,97.64053
463,100.64053
464,120.62053
465,130.64053
466,130.75453
467,130.75453
468,130.75453
469,130.75453
470,130.64053
471,130.64053
472,130.64053
473,120.62053
474,130.75453
475,130.75453
476,130.75453
477,130.75453
478,100.64053
479,97.64053
480,89.28986
481,89.28986
482,73.78986
483,73.78986
484,73.78986
485,73.78986
486,73.78986
487,88.78986
488,88.78986
489,88.78986
490,93.78986
491,93.78986
492,93.78986
493,93.78986
494,93.78986
495,93.78986
496,93.78986
497,93.78986
498,127.90386
499,127.90386
500,127.90386
501,127.90386
502,93.78986
503,89.28986
504,104.78419
505,104.78419
506,104.78419
507,104.78419
508,104.78419
509,104.78419
510,104.78419
511,122.78419
512,122.78419
513,123.78419
514,123.89819
515,123.89819
516,123.89819
517,123.89819
518,123.89819
519,123.89819
520,123.89819
521,123.89819
522,123.89819
523,123.89819
524,123.89819
525,123.89819
526,122.78419
527,122.78419
528,107.57458
529,92.59858
530,102.07858
531,92.59858
532,102.07858
533,112.59858
534,112.59858
535,112.59858
536,121.59858
537,121.59858
538,121.59858
539,121.59858
540,121.59858
541,121.59858
542,121.59858
543,121.59858
544,121.59858
545,121.59858
546,121.59858
547,128.59858
548,121.59858
549,121.59858
550,112.59858
551,112.59858
552,102.98823
553,93.50823
554,102.98823
555,93.50823
556,102.98823
557,104.50823
558,108.48423
559,104.50823
560,119.40823
561,119.40823
562,119.40823
563,119.40823
564,119.40823
565,119.40823
566,119.40823
567,119.40823
568,119.40823
569,119.40823
570,119.40823
571,129.50823
572,119.40823
573,119.40823
574,114.50823
575,104.50823
576,88.63215
577,88.63215
578,88.63215
579,88.63215
580,103.11215
581,113.63215
582,113.63215
583,114.63215
584,117.13215
585,117.13215
586,122.63215
587,123.63215
588,122.63215
589,122.63215
590,129.61215
591,129.61215
592,123.63215
593,117.13215
594,123.63215
595,122.63215
596,123.63215
597,117.13215
598,114.63215
599,113.63215
600,83.50639
601,83.50639
602,83.50639
603,83.50639
604,101.98639
605,113.50639
606,113.50639
607,114.00639
608,114.00639
609,114.00639
610,123.50639
611,123.50639
612,123.50639
613,123.50639
614,123.50639
615,123.50639
616,123.50639
617,114.00639
618,123.50639
619,123.50639
620,123.50639
621,122.50639
622,114.00639
623,113.50639
624,118.44545
625,118.44545
626,117.44545
627,117.44545
628,117.44545
629,117.44545
630,117.44545
631,118.44545
632,118.44545
633,121.94545
634,121.94545
635,121.94545
636,121.94545
637,121.94545
638,121.94545
639,121.94545
640,121.94545
641,121.94545
642,121.94545
643,121.94545
644,121.94545
645,121.94545
646,121.44545
647,118.44545
648,113.97592
649,113.97592
650,113.97592
651,113.97592
652,113.97592
653,113.97592
654,113.97592
655,113.97592
656,113.97592
657,113.97592
658,113.97592
659,113.97592
660,117.97592
661,113.97592
662,113.97592
663,113.97592
664,113.97592
665,113.97592
666,117.97592
667,123.47592
668,121.47592
669,121.47592
670,117.97592
671,113.97592
672,118.33126
673,118.33126
674,118.33126
675,118.33126
676,118.33126
677,118.33126
678,118.33126
679,118.33126
680,118.33126
681,121.33126
682,120.88126
683,121.33126
684,121.33126
685,120.88126
686,121.33126
687,121.33126
688,121.33126
689,120.88126
690,121.33126
691,138.83126
692,120.88126
693,121.33126
694,121.33126
695,118.33126
696,116.29831
697,116.29831
698,62.36831
699,102.77831
700,116.29831
701,116.29831
702,116.29831
703,119.79831
704,119.79831
705,120.29831
706,120.29831
707,122.79831
708,120.29831
709,120.29831
710,133.29831
711,139.79831
712,122.79831
713,119.79831
714,122.79831
715,139.79831
716,133.29831
717,122.79831
718,119.79831
719,116.29831
720,116.98428
721,116.98428
722,116.78428
723,116.78428
724,116.78428
725,118.03428
726,118.03428
727,118.03428
728,121.48428
729,124.28428
730,124.28428
731,124.28428
732,124.28428
733,124.28428
734,124.28428
735,124.28428
736,124.28428
737,124.28428
738,124.28428
739,133.48428
740,124.28428
741,124.28428
742,124.28428
743,116.98428
744,126.89392
745,126.89392
746,126.79392
747,125.79392
748,126.79392
749,135.79392
750,135.79392
751,135.79392
752,141.79392
753,146.29392
754,141.79392
755,146.29392
756,146.29392
757,146.29392
758,146.29392
759,146.29392
760,141.79392
761,141.79392
762,141.79392
763,155.79392
764,141.79392
765,141.79392
766,135.79392
767,125.79392
768,127.25829
769,127.25829
770,127.25829
771,126.85929
772,126.85929
773,127.25829
774,127.25829
775,126.85929
776,127.25829
777,134.85829
778,136.85829
779,142.85829
780,136.85829
781,136.85829
782,142.85829
783,136.85829
784,142.85829
785,136.85829
786,142.85829
787,147.85829
788,142.85829
789,136.85829
790,127.25829
791,126.85929
792,137.61416
793,137.11416
794,137.11416
795,137.11416
796,137.11416
797,137.61416
798,138.61416
799,142.61416
800,155.11416
801,155.11416
802,155.11416
803,172.61416
804,155.51416
805,155.11416
806,155.11416
807,155.11416
808,155.11416
809,142.61416
810,155.11416
