,cop_per_kwh
0,88.08621
1,88.08621
2,88.08621
3,79.08621
4,79.08621
5,84.08621
6,62.16321
7,84.08621
8,79.08621
9,79.08621
10,84.08621
11,84.08621
12,84.08621
13,84.08621
14,84.08621
15,84.08621
16,84.08621
17,84.08621
18,88.08621
19,88.08621
20,88.08621
21,84.08621
22,84.08621
23,79.08621
24,69.26899
25,94.26899
26,69.26899
27,69.26899
28,69.26899
29,94.26899
30,69.26899
31,89.26899
32,82.26899
33,89.26899
34,89.26899
35,89.26899
36,89.26899
37,89.26899
38,89.26899
39,89.26899
40,89.26899
41,89.26899
42,94.26899
43,104.26899
44,94.26899
45,89.26899
46,89.26899
47,89.26899
48,69.47295
49,69.47295
50,69.47295
51,69.47295
52,69.47295
53,69.47295
54,69.47295
55,82.47295
56,84.47295
57,84.47295
58,84.47295
59,84.47295
60,84.47295
61,84.47295
62,84.47295
63,84.47295
64,84.47295
65,84.47295
66,84.47295
67,114.47295
68,84.47295
69,84.47295
70,84.47295
71,82.47295
72,61.37672
73,61.37672
74,61.37672
75,69.29972
76,61.37672
77,73.29972
78,69.29972
79,73.29972
80,74.29972
81,89.29972
82,89.29972
83,114.29972
84,114.29972
85,114.29972
86,114.29972
87,89.29972
88,89.29972
89,89.29972
90,164.29972
91,204.29972
92,114.29972
93,89.29972
94,74.29972
95,73.29972
96,65.44236
97,65.44236
98,65.44236
99,65.44236
100,65.44236
101,79.44236
102,65.44236
103,79.44236
104,124.44236
105,124.44236
106,124.44236
107,124.44236
108,124.44236
109,124.44236
110,124.44236
111,124.44236
112,124.44236
113,124.44236
114,124.44236
115,124.44236
116,124.44236
117,124.44236
118,124.44236
119,65.44236
120,104.41443
121,99.42443
122,99.42443
123,86.52443
124,110.68343
125,104.41443
126,104.41443
127,104.41443
128,104.41443
129,119.40443
130,154.42443
131,154.42443
132,154.42443
133,154.42443
134,154.42443
135,154.42443
136,154.42443
137,104.42443
138,164.42443
139,164.42443
140,154.42443
141,154.42443
142,104.41443
143,104.41443
144,99.99473
145,99.98473
146,89.99473
147,89.99473
148,89.99473
149,89.99473
150,89.99473
151,99.99473
152,114.49473
153,174.99473
154,144.99473
155,144.99473
156,144.99473
157,144.99473
158,146.29473
159,119.97473
160,114.49473
161,114.49473
162,144.99473
163,146.29473
164,144.99473
165,144.99473
166,114.49473
167,114.49473
168,113.2484
169,113.2484
170,113.2484
171,105.2484
172,105.2484
173,105.2484
174,105.2484
175,105.2484
176,113.2484
177,113.2484
178,113.2484
179,113.2484
180,113.2484
181,113.2484
182,113.2484
183,113.2484
184,113.2484
185,113.2484
186,151.3484
187,151.3484
188,151.3484
189,113.2484
190,113.2484
191,113.2484
192,110.5767
193,117.7437
194,110.5767
195,104.5767
196,110.5767
197,110.5767
198,104.5767
199,110.5767
200,145.0757
201,120.1767
202,120.1767
203,120.1767
204,120.1767
205,120.1767
206,120.1767
207,120.1767
208,120.1767
209,120.1767
210,145.0757
211,175.0767
212,145.0757
213,120.1767
214,120.1767
215,120.1767
216,92.88372
217,92.88372
218,92.88372
219,84.38372
220,92.88372
221,92.88372
222,123.36372
223,121.88372
224,121.88372
225,142.38272
226,165.88372
227,154.38372
228,159.88372
229,159.88372
230,154.38372
231,154.38372
232,154.38372
233,142.38272
234,159.88372
235,159.88372
236,154.38372
237,142.38272
238,121.88372
239,121.88372
240,94.05368
241,94.05368
242,94.05368
243,94.05368
244,94.05368
245,94.05368
246,94.05368
247,116.50368
248,116.50368
249,124.55368
250,124.55368
251,160.05368
252,124.55368
253,124.55368
254,157.68568
255,124.55368
256,124.55368
257,116.50368
258,124.55368
259,160.05368
260,124.55368
261,119.53368
262,116.50368
263,116.50368
264,109.28981
265,109.28981
266,92.78981
267,92.78981
268,109.28981
269,109.28981
270,109.28981
271,114.78981
272,114.78981
273,114.78981
274,142.28981
275,142.28981
276,142.28981
277,142.28981
278,142.28981
279,142.28981
280,142.28981
281,160.93581
282,142.28981
283,142.28981
284,142.28981
285,142.28981
286,114.78981
287,114.78981
288,61.81279
289,61.81279
290,61.81279
291,61.81279
292,61.81279
293,89.56679
294,89.56679
295,89.56679
296,93.06679
297,153.56679
298,153.56679
299,153.56679
300,153.56679
301,153.56679
302,153.56679
303,153.56679
304,153.56679
305,153.56679
306,153.56679
307,153.56679
308,153.56679
309,153.56679
310,89.56679
311,61.81279
312,61.51551
313,61.51451
314,61.51451
315,61.51451
316,61.51451
317,61.51451
318,61.51451
319,61.51451
320,69.26851
321,69.26851
322,69.26851
323,89.26851
324,69.26851
325,69.26851
326,69.26851
327,69.26851
328,69.26851
329,69.26851
330,89.26851
331,89.26851
332,89.26851
333,69.26851
334,69.26851
335,61.51451
336,61.5707
337,61.5707
338,61.5707
339,61.5707
340,61.5707
341,61.5707
342,61.5707
343,61.5707
344,89.3247
345,89.3247
346,94.3247
347,94.3247
348,94.3247
349,94.3247
350,94.3247
351,94.3247
352,94.3247
353,94.3247
354,94.3247
355,144.3247
356,94.3247
357,94.3247
358,94.3247
359,89.3247
360,62.69991
361,62.69991
362,62.69991
363,62.69991
364,62.69991
365,62.69991
366,80.45391
367,80.45391
368,80.45391
369,100.45391
370,105.45391
371,105.45391
372,105.45391
373,105.45391
374,105.45391
375,105.45391
376,105.45391
377,105.45391
378,105.45391
379,105.45391
380,105.45391
381,105.45391
382,80.45391
383,80.45391
384,63.00092
385,63.00092
386,63.00092
387,63.00092
388,63.00092
389,63.00092
390,63.00092
391,85.75492
392,85.75492
393,85.75492
394,100.75492
395,159.75492
396,100.75492
397,100.75492
398,120.73492
399,120.73492
400,100.75492
401,85.75492
402,155.75492
403,155.75492
404,155.75492
405,100.75492
406,85.75492
407,63.00092
408,79.49987
409,79.49987
410,79.49987
